#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T10:27:40 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T10:27:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/cgi-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/ApJS/80/479/table1&-order=I&-out=Link&Link=Gr1&-out=Group&-out=Gal&-out=Memb&-out=Ngal&-out=Ngal2&-out=Dist&-out=Vel&-out=note&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_20800479
#Name: J/ApJS/80/479
#Title: Nearby galaxy flows (Tully+, 1992)
#INFO	ivoid=ivo://cds.vizier/j/apjs/80/479	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/80/479	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:1992ApJS...80..479T	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=1992	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/80/479	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.20800479	    Dataset identifier that can be used for citation
#INFO	publication_date=2000-04-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_80_479_table1:
#Name: J/ApJS/80/479/table1
#Title: Galaxies with distance estimates
#Column	Link	(A3)	Designation of the Group	[ucd=]
#Column	Group	(a7)	Group identification (1)	[ucd=meta.id;meta.main]
#Column	Gal	(a10)	Galaxy identification (2)	[ucd=meta.id]
#Column	Memb	(I3)	? Group members (3)	[ucd=meta.id]
#Column	Ngal	(I2)	Number of total galaxies	[ucd=meta.number]
#Column	Ngal2	(I2)	? Number of galaxies with distance estimates when this number is different of Ngal (4)	[ucd=meta.number]
#Column	Dist	(F4.1)	? Distance (5)	[ucd=pos.distance]
#Column	Vel	(I4)	? Velocity (6)	[ucd=phys.veloc;pos.heliocentric]
#Column	note	(A1)	Note (7)	[ucd=meta.note]
Link	Group	Gal	Memb	Ngal	Ngal2	Dist	Vel	note
Gr1	14-1   	N  4559   	   	 4	  	 5.8	    	
Gr1	14-1   	N  4565   	   	 4	  	12.0	    	
Gr1	14-2   	N  4725   	  2	 1	  	16.1	1191	
Gr1	14-4   	          	 22	10	 4	13.1	 596	
Gr1	14-4   	N  4096   	   	 4	  	11.2	    	
Gr1	14-4   	N  4258   	   	 4	  	 6.7	    	
Gr1	14-4   	U  7699   	   	 1	  	14.3	    	
Gr1	14-4   	U  7774   	   	 1	  	20.3	    	
Gr1	14-5   	          	  8	 5	 2	 8.3	 571	
Gr1	14-5   	N  5023   	   	 1	  	 8.1	    	
Gr1	14-5   	N  5055   	   	 4	  	 8.5	    	
Gr1	14-7   	          	 22	 2	  	 5.0	 309	
Gr1	14-7   	N  4144   	   	 1	  	 5.7	    	
Gr1	14-7   	N  4244   	   	 1	  	 4.2	    	
Gr1	14-9   	          	  9	 3	  	 5.4	 367	
Gr1	14-9   	N  5204   	   	 1	  	 4.3	    	
Gr1	14-9   	N  5585   	   	 1	  	 7.0	    	
Gr1	14-9   	U  8837   	   	 1	  	 5.0	    	
Gr1	14-10  	          	 12	 9	 4	 3.3	 242	
Gr1	14-10  	N  2366   	   	 4	  	 2.7	    	
Gr1	14-10  	N  2403   	   	 0	  	 3.2	    	
Gr1	14-10  	N  3031   	   	 4	  	 3.9	    	
Gr1	14-10  	U  5666   	   	 1	  	 3.5	    	
Gr1	14-11  	N  1560   	  8	 1	  	 2.5	 188	
Gr1	14-12  	          	 10	 0	 2	    	    	
Gr1	14-12  	N   224   	   	 0	  	 0.8	    	
Gr1	14-12  	N   598   	   	 0	  	 0.7	    	
Gr1	14-13  	          	 11	12	 4	 3.0	 197	
Gr1	14-13  	N    55   	   	 3	  	 2.4	    	
Gr1	14-13  	N   247   	   	 4	  	 2.8	    	
Gr1	14-13  	N   253   	   	 4	  	 3.0	    	
Gr1	14-13  	N  7793   	   	 1	  	 3.7	    	
Gr1	14-18  	N  4592   	  2	 1	  	 9.1	 979	
Gr1	15-1   	          	  9	 6	 2	10.0	 626	
Gr1	15-1   	N  3351   	   	 3	  	 9.8	    	
Gr1	15-1   	N  3368   	   	 3	  	10.2	    	
Gr1	15-0+1 	N  2903   	  1	 4	  	 7.4	 451	
Gr1	15-0+1 	N  3365   	  1	 1	  	16.4	 810	
Gr1	15-0+1 	N  3495   	  1	 4	  	17.6	 980	
Gr1	15-0+1 	N  3521   	  1	 4	  	11.5	 628	
Gr1	15-2   	          	  4	12	 3	10.5	 640	
Gr1	15-2   	N  3623   	   	 4	  	12.3	    	
Gr1	15-2   	N  3627   	   	 4	  	 9.0	    	
Gr1	15-2   	N  3628   	   	 4	  	10.6	    	
Gr1	15-3   	N  3423   	  2	 3	  	10.1	 951	#
Gr1	15-4   	          	  3	 4	 2	12.5	 629	
Gr1	15-4   	N  3486   	   	 3	  	12.3	    	
Gr1	15-4   	N  3510   	   	 1	  	12.9	    	
Gr1	15-6   	N  2683   	  2	 4	  	 9.9	 441	
Gr1	15+7   	          	  4	 5	 2	11.5	 665	
Gr1	15+7   	N  3198   	   	 4	  	10.0	    	
Gr1	15+7   	N  3319   	   	 1	  	13.1	    	
Gr1	15+8   	N  3432   	  2	 1	  	12.7	 604	
Gr1	15-9   	          	  3	 5	 2	13.4	 779	
Gr1	15-9   	N  3600   	   	 1	  	10.8	    	
Gr1	15-9   	N  3675   	   	 4	  	16.1	    	
Gr1	15-10  	U  4514   	  3	 1	  	15.4	 756	
Gr1	15-11  	N  2541   	  2	 1	  	 9.2	 585	
Gr1	15-0   	N  3621   	  1	 4	  	 5.4	 470	#
Gr1	17-1   	          	 13	 8	 5	 9.1	 752	
Gr1	17-1   	N   891   	   	 1	  	10.1	    	
Gr1	17-1   	N   925   	   	 4	  	 7.0	    	
Gr1	17-1   	N   949   	   	 1	  	 7.9	    	
Gr1	17-1   	N   959   	   	 1	  	10.6	    	
Gr1	17-1   	N  1003   	   	 1	  	 9.9	    	
Gr1	17-4   	N   660   	  6	 3	  	14.0	 813	#
Gr1	17-5   	N   672   	  2	 3	  	 7.4	 549	
Gr1	17+6   	N   784   	  2	 1	  	 3.4	 353	
Gr1	17-7   	0102-06   	  2	 3	  	13.0	1167	
Gr1	17-0   	N   428   	  1	 3	  	13.3	1260	
Gr1	17-0   	U  2082   	  1	 4	  	11.7	 834	
Gr1	18-1   	N  1169   	  2	 1	  	29.0	2602	
Gr1	18-2   	N  1171   	  2	 1	  	17.1	2889	#
Gr1	19-3   	1702-62   	  3	 1	  	13.7	1364	
Gr1	19-4   	N  7090   	  2	 1	  	 6.6	 805	
Gr1	19-6   	          	  4	 5	 2	 8.6	1030	
Gr1	19-6   	N  7456   	   	 4	  	10.2	    	
Gr1	19-6   	N  7462   	   	 1	  	 7.0	    	
Gr1	19-8   	          	  2	 2	  	 7.4	 553	
Gr1	19-8   	N    24   	   	 1	  	 6.9	    	
Gr1	19-8   	N    45   	   	 1	  	 8.1	    	
Gr1	21-1   	          	 11	 6	 2	10.6	1087	#
Gr1	21-1   	N  3596   	   	 3	  	 7.9	    	
Gr1	21-1   	N  3686   	   	 3	  	13.3	    	
Gr1	21-2   	N  3501   	  3	 1	  	19.5	1133	
Gr1	21-3   	          	 10	 4	 2	15.5	1009	
Gr1	21-3   	N  3443   	   	 1	  	19.3	    	
Gr1	21-3   	N  3507   	   	 3	  	11.8	    	
Gr1	21-4   	N  3810   	  2	 3	  	13.5	 893	
Gr1	21-5   	N  3338   	  3	 1	  	17.7	1150	
Gr1	21-9   	N  3430   	  4	 1	  	23.2	1623	
Gr1	21-12  	N  3003   	 10	 1	  	15.4	1453	
Gr1	21-18  	N  2770   	  5	 1	  	26.3	1993	
Gr1	21+20  	N  2701   	  2	 1	  	45.1	2339	#
Gr1	22-1   	N  3956   	 13	 1	  	24.7	1491	
Gr1	22-4   	N  3936   	  9	 1	  	19.4	1591	
Gr1	22-5   	1207-29   	  3	 1	  	21.3	1835	
Gr1	22-11  	N  4116   	  2	 1	  	19.8	1192	
Gr1	22-0   	N  3887   	  1	 3	  	16.1	 998	
Gr1	23-9   	1259-50   	  2	 4	  	11.4	1132	
Gr1	24-1   	U  3530   	  4	 1	  	24.4	2129	
Gr1	31-22  	N  2613   	  2	 1	  	24.7	1461	
Gr1	32+2   	U  4559   	  2	 1	  	29.2	2045	
Gr1	32+3   	N  3153   	  4	 1	  	23.8	2662	#
Gr1	33+5   	0639-58   	  2	 1	  	14.4	2160	
Gr1	34-2   	N  1964   	  2	 1	  	15.7	1506	
Gr1	34+5   	N  1784   	  2	 1	  	21.2	2326	
Gr1	34+7   	N  2280   	  2	 1	  	17.3	1753	
Gr1	41-2   	          	 14	 3	  	21.4	1701	
Gr1	41-2   	N  5690   	   	 1	  	15.6	    	
Gr1	41-2   	N  5705   	   	 1	  	26.0	    	
Gr1	41-2   	U  9483   	   	 1	  	22.6	    	
Gr1	41-3   	N  5577   	  8	 1	  	16.0	1611	
Gr1	41-4   	N  5496   	  3	 1	  	19.3	1563	
Gr1	41-6   	N  5861   	  2	 1	  	24.0	1895	
Gr1	41-7   	          	  5	 2	  	13.3	1219	
Gr1	41-7   	N  5300   	   	 1	  	15.2	    	
Gr1	41-7   	N  5348   	   	 1	  	11.5	    	
Gr1	41+16  	N  5984   	  3	 1	  	14.0	1173	
Gr1	42-1   	N  5320   	 15	 1	  	23.2	2478	
Gr1	42-0+1 	N  5529   	  1	 1	  	46.9	2971	
Gr1	42-3   	N  5676   	  6	 1	  	27.3	2395	
Gr1	42+9   	N  5894   	  2	 1	  	38.3	2570	
Gr1	42-0+12	N  4545   	  1	 1	  	28.9	2860	
Gr1	42-0+12	U  7941   	  1	 1	  	36.1	2445	
Gr1	42-13  	N  4127   	  8	 1	  	20.7	1905	
Gr1	42-14  	N  3735   	  2	 1	  	33.3	2777	
Gr1	42-16  	N  2268   	  4	 1	  	34.5	2391	
Gr1	42-17  	          	  2	 2	  	26.6	2306	
Gr1	42-17  	N  2336   	   	 1	  	27.2	    	
Gr1	42-17  	U  3834   	   	 1	  	26.0	    	
Gr1	42-18  	U  3130   	  2	 1	  	24.0	2672	
Gr1	42-0   	U  9764   	  1	 1	  	46.6	2448	
Gr1	43-1   	          	 13	 6	 3	15.2	 970	
Gr1	43-1   	N  5033   	   	 4	  	15.2	    	
Gr1	43-1   	N  5107   	   	 1	  	13.8	    	
Gr1	43-1   	U  8246   	   	 1	  	16.6	    	
Gr1	43-0   	N  5523   	  1	 1	  	17.2	1099	
Gr1	44-1   	          	  7	 8	 2	13.7	 922	
Gr1	44-1   	N  5879   	   	 4	  	12.3	    	
Gr1	44-1   	N  5907   	   	 4	  	15.2	    	
Gr1	44-2   	N  6015   	  2	 4	  	12.5	1074	
Gr1	44-4   	          	  2	 4	 2	15.3	1086	
Gr1	44-4   	N  6207   	   	 3	  	13.3	    	
Gr1	44-4   	N  6255   	   	 1	  	17.3	    	
Gr1	44-5   	N  6395   	  2	 1	  	15.6	1428	
Gr1	44-8   	N  6643   	  4	 1	  	17.5	1854	
Gr1	44-0   	N  5949   	  1	 1	  	10.9	 645	
Gr1	44-0   	N  6689   	  1	 1	  	12.8	 750	
Gr1	51-1   	Fornax    	 31	 5	 2	14.9	1344	
Gr1	51-1   	N  1365   	   	 4	  	12.3	    	
Gr1	51-1   	0314-35   	   	 1	  	17.5	    	
Gr1	51-0+1 	N  1292   	  1	 4	  	17.3	1261	
Gr1	51-0+1 	N  1425   	  1	 3	  	17.9	1376	
Gr1	51+2   	N  1406   	  5	 4	  	17.4	 995	
Gr1	51-3   	N  1097   	  3	 3	  	16.8	1901	
Gr1	51-4   	          	 17	12	 5	18.3	1427	
Gr1	51-4   	N  1325   	   	 1	  	18.2	    	
Gr1	51-4   	N  1371   	   	 3	  	23.4	    	
Gr1	51-4   	N  1385   	   	 4	  	10.1	    	
Gr1	51-4   	N  1398   	   	 3	  	22.2	    	
Gr1	51-4   	0347-27   	   	 1	  	17.7	    	
Gr1	51-5   	          	  6	 2	  	15.6	1601	
Gr1	51-5   	N  1255   	   	 1	  	14.6	    	
Gr1	51-5   	0311-25   	   	 1	  	16.7	    	
Gr1	51-6   	          	  2	 4	 2	16.9	1279	
Gr1	51-6   	N  1187   	   	 3	  	18.1	    	
Gr1	51-6   	0308-22   	   	 1	  	15.9	    	
Gr1	51-7   	N  1300   	  6	 4	  	15.0	1626	
Gr1	51+15  	N  1090   	  2	 1	  	23.2	2721	
Gr1	51-0   	0513-30   	  1	 1	  	15.6	1279	
Gr1	52-1   	N  1042   	 11	 3	  	 8.4	1405	#
Gr1	52-2   	N  1055   	  8	 4	  	13.5	1125	
Gr1	52-5   	          	  2	 2	  	17.1	1416	
Gr1	52-5   	N   779   	   	 1	  	13.6	    	
Gr1	52-5   	0202-06   	   	 1	  	20.6	    	
Gr1	52-6   	N   908   	  6	 1	  	14.0	1531	
Gr1	52-0+7 	N   755   	  1	 1	  	14.4	1669	
Gr1	52-8   	N   701   	  3	 1	  	16.2	1890	
Gr1	52-12  	N   493   	  6	 1	  	23.7	2416	
Gr1	52-0+12	U   711   	  1	 1	  	23.6	2088	
Gr1	52-15  	U  1276   	  2	 1	  	20.7	2851	
Gr1	52-0   	N   578   	  1	 1	  	23.5	1622	
Gr1	52-0   	N   613   	  1	 1	  	26.7	1449	#
Gr1	52-0   	N   803   	  1	 1	  	16.8	2214	
Gr1	52-0   	N   918   	  1	 1	  	15.3	1625	
Gr1	52-0   	N  1253   	  1	 1	  	22.2	1696	
Gr1	52-0   	N  1337   	  1	 4	  	11.5	1199	
Gr1	53-1   	0416-56   	 13	 1	  	16.7	1006	
Gr1	53-0+1 	0311-57   	  1	 1	  	12.6	 951	
Gr1	53-2   	N  1559   	  3	 1	  	13.6	1016	
Gr1	53-4   	N  1892   	  3	 1	  	12.7	 943	
Gr1	53-7   	          	 15	 2	  	14.0	 833	
Gr1	53-7   	N  1448   	   	 1	  	14.5	    	
Gr1	53-7   	N  1494   	   	 1	  	13.6	    	
Gr1	53-0+7 	N  1249   	  1	 1	  	13.2	 828	
Gr1	53-8   	0330-52   	  2	 1	  	 8.8	 887	
Gr1	53-9   	0307-41   	  2	 1	  	 9.4	 741	
Gr1	53-10  	N  1792   	  5	 4	  	10.1	 831	
Gr1	53-13  	N  1532   	  3	 3	  	16.8	1075	
Gr1	53-15  	0756-49   	  2	 1	  	12.5	 808	
Gr1	53-16  	N  2427   	  2	 1	  	 9.5	 706	
Gr1	53-22  	0857-68   	  3	 1	  	13.8	1279	
Gr1	53-0   	N  1507   	  1	 1	  	10.0	 810	
Gr1	53-0   	N  1744   	  1	 1	  	 8.8	 562	
Gr1	53-0   	0350-71   	  1	 1	  	13.1	1206	
Gr1	53-0   	0419-21   	  1	 1	  	 8.2	 768	
Gr1	54-3   	N  2835   	  5	 1	  	 8.6	 519	
Gr1	54-5   	          	  2	 6	 2	13.1	 900	
Gr1	54-5   	N  3511   	   	 3	  	11.5	    	
Gr1	54-5   	N  3513   	   	 3	  	14.7	    	
Gr1	61-13  	N  7205   	  2	 1	  	14.4	1678	
Gr1	61+14  	N  7307   	  2	 1	  	22.8	2114	
Gr1	61-16  	N  7531   	 12	 1	  	14.1	1572	
Gr1	61-0+16	N  7361   	  1	 4	  	12.3	1306	
Gr1	61-18  	N   134   	  3	 1	  	14.9	1562	
Gr1	61-20  	N   150   	  2	 1	  	14.1	1588	
Gr1	61-0   	N  6925   	  1	 1	  	26.3	2847	
Gr1	61-0   	N  7314   	  1	 1	  	12.9	1499	
Gr1	61-0   	2211-67   	  1	 1	  	22.7	1615	
Gr1	62-1   	N  7083   	  2	 1	  	24.7	2920	
Gr1	63 +5  	N  7721   	  2	 1	  	17.3	2255	
Gr1	64-4   	N  7497   	  3	 1	  	16.2	1946	
Gr1	64-8   	N  7817   	  2	 1	  	20.6	2577	
Gr1	64-0   	U 11651   	  1	 1	  	22.2	1804	
Gr1	65-1   	          	  6	 5	 2	13.7	1132	
Gr1	65-1   	N  7320   	   	 1	  	13.8	    	
Gr1	65-1   	N  7331   	   	 4	  	13.6	    	
Gr1	65-3   	N  7741   	  3	 3	  	12.6	1008	
Gr1	65-4   	N  7640   	  3	 1	  	 7.0	 679	
Gr1	65+5   	U 11707   	  2	 1	  	23.3	1119	#
Gr1	71-1   	N  5951   	  4	 1	  	20.4	2030	
Gr1	71-4   	          	  3	 2	  	28.6	2065	
Gr1	71-4   	N  6070   	   	 1	  	29.3	    	
Gr1	71-4   	U 10288   	   	 1	  	27.9	    	
Gr1	71-5   	U  9977   	  2	 1	  	26.7	1975	
Gr1	71-0   	N  6106   	  1	 1	  	16.7	1542	
Gr1	71-0   	N  6118   	  1	 1	  	18.9	1629	
Gr1	71-0   	N  6181   	  1	 1	  	21.9	2515	
Gr1	72-1   	U  9858   	  4	 1	  	29.0	2686	
Gr1	73-1   	N  6570   	  2	 1	  	17.4	2494	#
Gr1	73-2   	U 11093   	  3	 1	  	20.1	2052	
Gr1	73-3   	N  6384   	  2	 1	  	19.8	1820	
Gr1	30+1   	U  3691   	  2	 1	  	26.7	2134	
Gr1	30+2   	N  2357   	  2	 1	  	26.7	2259	
Gr1	60-1   	U   625   	  2	 1	  	20.7	2926	
Gr1	60-0   	2335-48   	  1	 1	  	40.3	2786	
Gr1	70-0   	N  3396   	  1	 1	  	21.8	2336	
Gr1	70-0   	N  6368   	  1	 1	  	23.9	2920	
Gr1	70-0   	N  6764   	  1	 1	  	25.9	2691	

