#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-10-30T19:26:32 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-10-30T19:26:32	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-out.src=VII/257/2mig&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VII/257/2mig&-out=2MIG&-out=2M&-out=RAJ2000&-out=DEJ2000&-out=Name&-out=r&-out=Ksmag&-out=2s&-out=HRV&-out=T&-out=N&-out=Comm&-out=NED&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7257
#Name: VII/257
#Title: 2MASS-selected Isolated Galaxies (2MIG) (Karachentseva+, 2010)
#INFO	ivoid=ivo://cds.vizier/vii/257	    IVOID of underlying data collection
#INFO	creator=Karachentseva V.E.	    First author or institution
#INFO	cites=bibcode:2010AstBu..65....1K	    Article or Data origin sources
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/257	    Dataset landing page
#INFO	publication_date=2018-01-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_257_2mig:
#Name: VII/257/2mig
#Title: 2MASS-selected Isolated Galaxies Catalog (2MIG)
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	2MIG	(I4)	Galaxy number	[ucd=meta.id;meta.main]
#Column	2M	(A2)	Display the 2MASSX data (Cat. VII/233)	[ucd=meta.ref.url]
#Column	RAJ2000	(A11)	Right Ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	Name	(a16)	Galaxy name in the known catalogs	[ucd=meta.id]
#Column	r	(F5.1)	K-band fiducial elliptical Kron radius	[ucd=phys.angSize;em.IR.K]
#Column	Ksmag	(F5.2)	Ks-band fiducial elliptical Kron magnitude	[ucd=phot.mag;em.IR.K]
#Column	2s	(I3)	Dimensionless "separation" between isolated galaxy and its nearest significant neighbour	[ucd=pos.angDistance]
#Column	HRV	(I5)	? Heliocentric radial velocity taken from LEDA or NED databases	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	T	(I2)	Morphological type in de Vaucouleurs' scale (T=-2 is any elliptical galaxies)	[ucd=src.morph.type]
#Column	N	(I1)	? Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS (1)	[ucd=meta.number]
#Column	Comm	(a34)	? Comments (2)	[ucd=meta.note]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
_RAJ2000	_DEJ2000	2MIG	2M	RAJ2000	DEJ2000	Name	r	Ksmag	2s	HRV	T	N	Comm	NED
003.5165833	-23.1820833	  23	2M	00 14 03.98	-23 10 55.5	NGC0045         	 49.3	10.07	 79	  466	 8	 	Bar,IRAS                          	NED
003.5535000	+22.7664167	  24	2M	00 14 12.84	+22 45 59.1	CGCG478-044     	 16.4	11.02	 80	 6173	 1	1	                                  	NED
003.6782917	-60.3284722	  25	2M	00 14 42.79	-60 19 42.5	NGC0053         	 38.8	10.30	112	 4572	 2	 	Bar,ring                          	NED
003.7107083	-86.9930833	  26	2M	00 14 50.57	-86 59 35.1	ESO002-006      	 31.7	 9.92	167	     	-2	 	                                  	NED
003.8186250	-57.2447778	  27	2M	00 15 16.47	-57 14 41.2	ESO111-022      	 22.0	11.13	 72	 9800	 3	 	Ring,Vc                           	NED
004.0616250	+10.3323611	  28	2M	00 16 14.79	+10 19 56.5	UGC00151        	 23.9	10.36	 84	 5254	-2	 	KIG13                             	NED
004.2119583	 -5.2683333	  29	2M	00 16 50.87	-05 16 06.0	MCG-01-01-064   	 32.7	10.64	 81	 3943	 1	1	Bar,LINER,HII,IRAS                	NED
004.2711250	+42.1613889	  30	2M	00 17 05.07	+42 09 41.0	UGC00158        	 19.1	11.69	 65	 5065	 3	 	                                  	NED
004.2904167	 -3.7135833	  31	2M	00 17 09.70	-03 42 48.9	MCG-01-01-067   	 19.8	10.83	 67	10959	-2	 	                                  	NED
004.4779167	-47.9280000	  32	2M	00 17 54.70	-47 55 40.8	ESO194-001      	 20.6	11.87	 67	11450	 5	1	                                  	NED
004.5504583	+13.1922500	  33	2M	00 18 12.11	+13 11 32.1	MCG+02-01-031   	 24.2	10.99	 92	 4131	 1	 	IRAS                              	NED
004.5997917	+48.7317500	  34	2M	00 18 23.95	+48 43 54.3	UGC00171        	 21.5	10.54	 62	 5266	 4	 	Pec,HII,IRAS                      	NED
004.9333333	-14.1217778	  35	2M	00 19 44.00	-14 07 18.4	IC0009          	 15.3	11.36	 87	12622	 3	1	Ring,Sy2,HII,IRAS                 	NED
004.9530833	+23.7726111	  36	2M	00 19 48.74	+23 46 21.4	IC1540          	 28.3	10.85	 65	 5827	 3	 	Bar                               	NED
005.0002500	 -6.3336944	  37	2M	00 20 00.06	-06 20 01.3	MCG-01-02-001   	 24.2	11.38	 73	 3709	 2	 	Bar,pec                           	NED
005.4322500	-61.7110833	  38	2M	00 21 43.74	-61 42 39.9	ESO112-001      	 29.2	11.16	 61	10029	 5	 	                                  	NED
005.4629583	 -9.4922500	  39	2M	00 21 51.11	-09 29 32.1	MCG-02-02-005   	 20.8	11.37	113	 6267	 3	1	Ring,IRAS                         	NED
005.5050833	+49.1334167	  40	2M	00 22 01.22	+49 08 00.3	CGCG549-038     	 23.5	10.95	 74	 5144	 4	 	Pec,HII,IRAS                      	NED
005.6410833	 -8.4863611	  41	2M	00 22 33.86	-08 29 10.9	MCG-02-02-007   	 21.9	11.07	110	 5692	 4	1	                                  	NED
005.7962083	-59.6174722	  42	2M	00 23 11.09	-59 37 02.9	ESO111-026      	 17.0	11.36	102	 8941	 2	1	                                  	NED
005.9001250	+20.8531389	  43	2M	00 23 36.03	+20 51 11.3	UGC00225        	 17.0	11.28	 78	     	 1	1	                                  	NED
005.9775417	-32.5361944	  44	2M	00 23 54.61	-32 32 10.3	NGC0101         	 32.9	10.77	122	 3383	 5	 	Bar,HII,IRAS                      	NED
006.1521250	-13.9563611	  45	2M	00 24 36.51	-13 57 22.9	NGC0102         	 28.8	10.74	 63	 7332	 0	 	Bar,ring                          	NED
006.2449583	+43.6627500	  46	2M	00 24 58.79	+43 39 45.9	UGC00236        	 17.4	10.76	 94	 5104	-2	 	KIG20                             	NED
006.2639583	+31.3447500	  47	2M	00 25 03.35	+31 20 41.1	UGC00238        	 33.9	10.57	 78	 6766	 4	1	LINER,IRAS                        	NED
006.3746250	+45.9216944	  48	2M	00 25 29.91	+45 55 18.1	UGC00243        	 57.8	 9.61	 78	 5076	 3	 	IRAS,Vc                           	NED
006.5133750	 -7.3346389	  49	2M	00 26 03.21	-07 20 04.7	PGC172039       	 15.1	11.29	 66	15888	 0	1	                                  	NED
006.5726667	 -4.4923056	  50	2M	00 26 17.44	-04 29 32.3	MCG-01-02-014   	 31.2	10.98	 92	 3983	 2	 	Bar,pec,HII,IRAS                  	NED
006.6240000	-60.0561111	  51	2M	00 26 29.76	-60 03 22.0	PGC127809       	 21.4	11.33	 83	 4749	 3	1	AM0024-602,IRAS                   	NED
006.7297083	-44.6385000	  52	2M	00 26 55.13	-44 38 18.6	ESO242-009      	 16.1	11.80	 64	 6217	 9	2	                                  	NED
006.7400417	-56.9780000	  53	2M	00 26 57.61	-56 58 40.8	NGC0119         	 27.3	10.00	 71	 7430	-2	 	                                  	NED
006.8448333	+10.8483889	  54	2M	00 27 22.76	+10 50 54.2	UGC00266        	 18.5	11.33	 61	     	 1	2	                                  	NED
007.0742917	 -9.4928611	  55	2M	00 28 17.83	-09 29 34.3	MCG-02-02-020   	 18.8	11.91	 61	16959	 3	 	                                  	NED
007.2526250	 -8.3183889	  56	2M	00 29 00.63	-08 19 06.2	MCG-02-02-025   	 15.2	11.24	 68	 6110	 0	 	                                  	NED
007.3200417	+53.3201389	  57	2M	00 29 16.81	+53 19 12.5	PGC2437721      	 18.5	11.05	 82	     	 1	 	                                  	NED
007.4235833	-51.5206944	  58	2M	00 29 41.66	-51 31 14.5	ESO194-021      	 35.9	 9.12	123	 3496	-2	 	                                  	NED
007.4320000	+21.4768056	  59	2M	00 29 43.68	+21 28 36.5	IC1552          	 27.9	10.99	100	 5600	 5	 	KIG23,IRAS                        	NED
007.5226250	-60.2303333	  60	2M	00 30 05.43	-60 13 49.2	PGC143541       	 18.8	11.36	 81	11923	 1	 	                                  	NED
007.6193750	 +5.8612500	  61	2M	00 30 28.65	+05 51 40.5	CGCG409-021     	 19.4	11.10	 64	 7087	 0	 	                                  	NED
007.6682500	-28.7126111	  62	2M	00 30 40.38	-28 42 45.4	ESO410-015      	 22.6	10.99	 64	 7307	 1	 	Vc                                	NED
007.6825833	-59.0071667	  63	2M	00 30 43.82	-59 00 25.8	ESO112-006      	 15.5	11.44	 72	 8642	 2	1	IRAS                              	NED
007.8993333	+14.6122778	  64	2M	00 31 35.84	+14 36 44.2	UGC00316        	 26.0	11.51	 66	11432	 6	 	Vc                                	NED
007.9450833	+68.2923056	  65	2M	00 31 46.82	+68 17 32.3	PGC137056       	 16.4	11.69	 62	     	 5	 	                                  	NED
008.1777083	-11.3181667	  66	2M	00 32 42.65	-11 19 05.4	MCG-02-02-049   	 44.6	10.35	 62	 4031	 5	 	IRAS                              	NED
008.2928333	-13.1461667	  67	2M	00 33 10.28	-13 08 46.2	MCG-02-02-051   	 15.8	11.81	 64	 6179	 4	 	Bar,ring,IRAS                     	NED
008.3783333	+22.9027778	  68	2M	00 33 30.80	+22 54 10.0	CGCG479-039     	 15.8	11.48	 98	 4599	 0	 	KIG27,IRAS                        	NED
008.6025417	+12.2685000	  69	2M	00 34 24.61	+12 16 06.6	IC0031          	 32.4	10.37	 79	 9515	 2	1	                                  	NED
008.6947917	 -8.3964722	  70	2M	00 34 46.75	-08 23 47.3	NGC0157         	 95.5	 7.68	 65	 1673	 4	 	Bar,IRAS                          	NED
008.7415833	-51.5564722	  71	2M	00 34 57.98	-51 33 23.3	PGC129232       	 20.6	11.85	 71	14270	 4	2	                                  	NED
009.0378333	+55.3782778	  72	2M	00 36 09.08	+55 22 41.8	PGC137012       	 21.2	11.35	 64	     	 3	 	                                  	NED
009.3396667	-19.9342222	  73	2M	00 37 21.52	-19 56 03.2	NGC0171         	 64.5	 9.39	 62	 3884	 2	 	Bar,ring,VV791A,IRAS              	NED
009.4161250	+10.3579722	  74	2M	00 37 39.87	+10 21 28.7	IC0035          	 20.0	11.13	 95	 4587	 6	2	KIG30                             	NED
009.4818750	 +4.9113333	  75	2M	00 37 55.65	+04 54 40.8	CGCG409-049     	 26.4	11.25	 75	 8489	 5	 	IRAS,Vc                           	NED
009.4903750	 +8.6352222	  76	2M	00 37 57.69	+08 38 06.8	NGC0180         	 55.2	 9.73	 69	 5279	 4	1	Bar,IRAS                          	NED
009.5988750	+15.0395278	  77	2M	00 38 23.73	+15 02 22.3	UGC00386        	 16.3	11.18	 64	 5376	 1	 	MRK343,IRAS,Vc                    	NED
009.6655417	+17.4031389	  78	2M	00 38 39.73	+17 24 11.3	UGC00393        	 19.2	11.38	 91	 5432	 3	 	Vc                                	NED
009.8147500	-43.0754167	  79	2M	00 39 15.54	-43 04 31.5	ESO242-023      	 34.3	10.72	 67	 4026	 5	 	Pec,IRAS                          	NED
009.8762917	+23.0727778	  80	2M	00 39 30.31	+23 04 22.0	CGCG479-053     	 16.6	11.55	 60	     	 2	1	                                  	NED
009.8972917	-47.2912500	  81	2M	00 39 35.35	-47 17 28.5	2MFGC472        	 15.7	11.86	 82	10114	 3	1	                                  	NED
010.1310417	-45.9853889	  82	2M	00 40 31.45	-45 59 07.4	ESO242-024      	 31.3	10.39	 99	 3695	 1	 	Bar,IRAS                          	NED
010.2651667	+31.7326667	  83	2M	00 41 03.64	+31 43 57.6	UGC00433        	 50.8	10.22	 89	 4654	 5	 	IRAS                              	NED
010.3305833	+68.9317222	  84	2M	00 41 19.34	+68 55 54.2	PGC137148       	 15.6	11.80	 98	     	 3	1	                                  	NED
010.8572917	-50.1827778	  85	2M	00 43 25.75	-50 10 58.0	NGC0238         	 53.1	10.06	 96	 8614	 3	 	Bar,ring,IRAS,Vc                  	NED
010.8849167	+14.3426111	  86	2M	00 43 32.38	+14 20 33.4	NGC0234         	 34.4	 9.62	151	 4457	 5	1	IRAS                              	NED
011.0538750	-12.5921111	  87	2M	00 44 12.93	-12 35 31.6	MCG-02-03-004   	 20.3	11.15	 84	 6784	 0	1	IRAS                              	NED
011.2584167	-60.7603611	  88	2M	00 45 02.02	-60 45 37.3	ESO112-009      	 18.7	10.92	 83	10500	 0	1	                                  	NED
011.4434583	-15.5968611	  89	2M	00 45 46.43	-15 35 48.7	NGC0244         	 18.0	11.32	 81	  941	 9	 	VV728                             	NED
011.8031667	+29.1363889	  90	2M	00 47 12.76	+29 08 11.0	2MFGC00567      	 16.5	11.34	 71	 5706	 2	 	IRAS,Vc                           	NED
011.9762500	+68.1286944	  91	2M	00 47 54.30	+68 07 43.3	2MFGC574        	 37.0	10.86	 96	     	 5	 	                                  	NED
012.0062500	 +8.2970556	  92	2M	00 48 01.50	+08 17 49.4	NGC0257         	 40.3	 9.66	 78	 5276	 4	1	IRAS                              	NED
012.1755000	-40.6722778	  93	2M	00 48 42.12	-40 40 20.2	2MFGC00586      	 20.1	11.96	 97	10038	 5	 	                                  	NED
012.1976667	-46.1511389	  94	2M	00 48 47.44	-46 09 04.1	PGC130104       	 15.4	11.60	 61	15860	 0	1	                                  	NED
012.3938333	-46.8744167	  95	2M	00 49 34.52	-46 52 27.9	ESO243-002      	 20.2	11.62	112	 8886	 5	 	                                  	NED
012.4119583	+22.9323333	  96	2M	00 49 38.87	+22 55 56.4	UGC00506        	 24.6	10.33	 79	 7462	-2	 	                                  	NED
012.4572917	-35.3341944	  97	2M	00 49 49.75	-35 20 03.1	ESO351-010      	 18.8	11.63	 92	17875	 4	1	                                  	NED
012.5384583	-13.4445556	  98	2M	00 50 09.23	-13 26 40.4	PGC937908       	 16.9	11.67	 93	10566	 1	2	                                  	NED
012.5398333	 -5.1937778	  99	2M	00 50 09.56	-05 11 37.6	NGC0268         	 32.0	10.58	 87	 5477	 4	 	Bar,IRAS                          	NED
012.5815000	+67.0476944	 100	2M	00 50 19.56	+67 02 51.7	PGC2796450      	 22.3	10.64	 92	     	 0	 	                                  	NED
012.5938333	+11.7104444	 101	2M	00 50 22.52	+11 42 37.6	UGC00513        	 16.3	11.86	 66	11901	 3	1	                                  	NED
012.8796250	-37.6553333	 102	2M	00 51 31.11	-37 39 19.2	MCG-06-03-001   	 16.8	11.10	 75	 7005	 0	1	                                  	NED
013.0573750	+44.3309444	 103	2M	00 52 13.77	+44 19 51.4	UGC00530        	 25.4	10.74	 99	 5331	 1	1	                                  	NED
013.3837917	-58.1071111	 104	2M	00 53 32.11	-58 06 25.6	IC1597          	 21.0	11.93	 67	 5053	 3	2	Bar,pec,ring                      	NED
013.6655833	-63.2837778	 105	2M	00 54 39.74	-63 17 01.6	ESO079-010      	 21.5	11.30	 67	 5662	 5	2	IRAS                              	NED
013.6784167	+21.5226389	 106	2M	00 54 42.82	+21 31 21.5	IC1596          	 18.9	11.63	 90	 2675	 3	1	KIG39                             	NED
013.7058750	+10.5377778	 107	2M	00 54 49.41	+10 32 16.0	UGC00558        	 21.8	11.41	 96	11731	 1	 	KIG40                             	NED
013.7600833	-13.6781944	 108	2M	00 55 02.42	-13 40 41.5	IC0058          	 16.8	11.11	 66	 6292	-2	 	Vc                                	NED
013.9235417	+49.0353333	 109	2M	00 55 41.65	+49 02 07.2	CGCG550-018     	 19.4	11.24	 67	     	 1	 	                                  	NED
014.2183750	-31.9629444	 110	2M	00 56 52.41	-31 57 46.6	NGC0314         	 20.2	10.79	 64	 5615	 0	 	Bar,ring,IRAS,Vc                  	NED
014.4066250	-48.9026389	 111	2M	00 57 37.59	-48 54 09.5	IC1605          	 37.3	10.38	 83	 7440	 3	 	Bar,ring,Vc                       	NED
014.4234583	+33.3513333	 112	2M	00 57 41.63	+33 21 04.8	CGCG501-51      	 18.6	11.29	 71	 5306	 4	1	Pec,ARK23,IRAS                    	NED
014.6005833	+48.6618889	 113	2M	00 58 24.14	+48 39 42.8	UGC00600        	 21.1	10.93	 79	 6813	 3	1	Bar,IRAS                          	NED
015.0907917	+19.8363056	 114	2M	01 00 21.79	+19 50 10.7	CGCG458-014     	 18.3	11.27	 62	 5390	 1	1	                                  	NED
015.1879167	+78.0592500	 115	2M	01 00 45.10	+78 03 33.3	PGC2775476      	 17.6	11.23	 94	     	 1	1	                                  	NED
015.1911250	-85.5229444	 116	2M	01 00 45.87	-85 31 22.6	ESO002-012      	 28.5	11.70	 77	 4656	 5	1	IRAS                              	NED
015.4274583	-15.5678056	 117	2M	01 01 42.59	-15 34 04.1	IC1610          	 30.5	 9.99	 82	 5632	 0	4	Bar                               	NED
015.7143333	-65.6099722	 118	2M	01 02 51.44	-65 36 35.9	NGC0360         	109.7	 9.11	171	 2301	 5	 	IRAS                              	NED
015.8757917	+56.5084444	 119	2M	01 03 30.19	+56 30 30.4	PGC137485       	 26.4	10.62	 72	     	 2	 	                                  	NED
016.1754583	-37.6367778	 120	2M	01 04 42.11	-37 38 12.4	ESO295-032      	 26.7	11.81	 65	 3901	 6	1	Pec                               	NED
016.2203333	+49.4980278	 121	2M	01 04 52.88	+49 29 52.9	PGC2344768      	 17.1	11.68	115	     	 2	 	                                  	NED
016.6462083	-20.3321944	 122	2M	01 06 35.09	-20 19 55.9	NGC0377         	 18.8	11.58	 75	     	 2	2	IRAS                              	NED
016.7096667	+75.6003611	 123	2M	01 06 50.32	+75 36 01.3	UGC00670        	 33.8	 9.75	 96	 4753	 4	 	Bar,pec,IRAS                      	NED
016.7982917	+10.8368056	 124	2M	01 07 11.59	+10 50 12.5	IC0075          	 17.1	11.44	 78	12324	 3	1	                                  	NED
016.8205000	+24.5090556	 125	2M	01 07 16.92	+24 30 32.6	CGCG480-044     	 16.3	11.73	 79	 9102	-2	 	                                  	NED
016.8850833	+70.3865556	 126	2M	01 07 32.42	+70 23 11.6	PGC137437       	 21.7	11.85	 62	 6943	 5	 	IRAS                              	NED
016.8999583	-33.6378889	 127	2M	01 07 35.99	-33 38 16.4	ESO352-007      	 15.6	11.32	 66	10108	 1	1	Bar,ring                          	NED
017.2610000	-37.2888056	 128	2M	01 09 02.64	-37 17 19.7	ESO296-002      	 26.0	10.73	 63	 6584	 2	 	Bar,ring,HII,IRAS                 	NED
017.5106667	+22.6938889	 129	2M	01 10 02.56	+22 41 38.0	2MFGC00852      	 17.3	11.90	 72	     	 5	1	                                  	NED
017.6164583	+67.7250000	 130	2M	01 10 27.95	+67 43 30.0	2MFGC00864      	 22.3	11.93	 62	     	 6	1	                                  	NED
017.6419167	-52.5565278	 131	2M	01 10 34.06	-52 33 23.5	ESO151-026      	 22.4	10.46	 77	 7398	-2	4	                                  	NED
017.7000417	+63.5694722	 132	2M	01 10 48.01	+63 34 10.1	2MASX           	 24.6	10.84	 60	     	 6	 	                                  	NED
017.8425417	-29.2345000	 133	2M	01 11 22.21	-29 14 04.2	NGC0423         	 30.4	10.58	 86	 1596	 2	3	Pec,IRAS                          	NED
017.9314583	+35.2761389	 134	2M	01 11 43.55	+35 16 34.1	UGC00748        	 20.7	11.74	 95	 4855	 4	 	IRAS                              	NED
018.0390833	+12.2439167	 135	2M	01 12 09.38	+12 14 38.1	CGCG436-008     	 16.7	11.23	 81	 4196	 1	1	IRAS                              	NED
018.5928750	 +5.9268333	 136	2M	01 14 22.29	+05 55 36.6	NGC0437         	 26.3	10.14	 83	 5289	 0	1	                                  	NED
018.6183750	+51.1438889	 137	2M	01 14 28.41	+51 08 38.0	UGC00782        	 28.3	11.57	 74	     	 6	 	                                  	NED
