#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T09:45:30 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T09:45:30	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/846/44/table1&-order=I&-out=RAJ2000&-out=DEJ2000&-out=f_pos&-out=fp&-out=e_fp&-out=Lum&-out=z&-out=theta&-out=fNVSS&-out=e_fNVSS&-out=chi&-out=Xc&-out=FIRST&FIRST=FIRST&-out=NVSS&NVSS=NVSS&-out=RASS&RASS=RASS&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18460044
#Name: J/ApJ/846/44
#Title: Luminous persistent sources in nearby galaxies search (Ofek, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/846/44	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/846/44	    IVOID of underlying data collection
#INFO	creator=Ofek E.O.	    First author or institution
#INFO	cites=bibcode:2017ApJ...846...44O	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/846/44	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18460044	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-09-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_846_44_table1:
#Name: J/ApJ/846/44/table1
#Title: *Luminous persistent radio source candidates
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	f_pos	(A1)	[b] b = best candidates (11 occurrences)	[ucd=meta.code]
#Column	fp	(F4.1)	[1.4/21.1] FIRST peak radio flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_fp	(F5.2)	[0.1/0.3] Error in fp	[ucd=stat.error]
#Column	Lum	(F5.2)	[0.1/1] Luminosity (2)	[ucd=phys.luminosity]
#Column	z	(F6.3)	[0.01/0.03] Spatially coincident galaxy redshift	[ucd=src.redshift]
#Column	theta	(F6.2)	[0.02/223.5] Angular distance between radio source and galaxy	[ucd=pos.angDistance]
#Column	fNVSS	(F5.1)	[2/159]? NVSS radio flux (3)	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_fNVSS	(F4.1)	[0.4/5.1]? Error in fNVSS	[ucd=stat.error]
#Column	chi	(F4.1)	[-5.4/30.4]? FIRST to NVSS variability (4)	[ucd=stat.fit.chi2]
#Column	Xc	(F5.1)	[13/152.4]? ROSAT count rate (5)	[ucd=phot.count;em.X-ray]
#Column	FIRST	(a5)	Display the FIRST data from Helfand+, 2015, VIII/92 within 0.1"	[ucd=meta.ref.url]
#Column	NVSS	(A4)	Display the NVSS data from Condon+, 1998, VIII/65 within 15"	[ucd=meta.ref.url]
#Column	RASS	(A4)	Display the ROSAT data from Voges+, 1999, IX/10 and IX/29 within 35"	[ucd=meta.ref.url]
RAJ2000	DEJ2000	f_pos	fp	e_fp	Lum	z	theta	fNVSS	e_fNVSS	chi	Xc	FIRST	NVSS	RASS
00 42 39.260	+02 44 14.17	 	 3.3	 0.11	 0.12	 0.018	  2.63	  5.0	 0.5	 3.2	     	FIRST	NVSS	RASS
13 24 28.234	+04 46 29.54	 	 2.3	 0.14	 0.13	 0.021	  0.14	     	    	    	     	FIRST	NVSS	RASS
23 35 01.071	+04 53 51.38	 	 3.1	 0.10	 0.13	 0.019	  0.23	  8.7	 0.5	10.7	     	FIRST	NVSS	RASS
23 35 10.457	+04 57 51.00	 	 5.3	 0.10	 0.22	 0.019	  0.43	  9.8	 0.5	 8.5	     	FIRST	NVSS	RASS
14 30 52.286	+06 02 09.66	 	 1.5	 0.15	 0.11	 0.025	  0.10	     	    	    	     	FIRST	NVSS	RASS
12 18 08.114	+06 08 22.23	 	 6.0	 0.14	 0.24	 0.018	  0.34	     	    	    	     	FIRST	NVSS	RASS
14 14 30.535	+06 09 55.42	 	 2.1	 0.14	 0.10	 0.020	  0.53	     	    	    	     	FIRST	NVSS	RASS
14 14 20.854	+07 30 58.06	 	 1.6	 0.15	 0.12	 0.025	  0.84	  2.3	 0.5	 1.4	     	FIRST	NVSS	RASS
10 51 26.328	+08 17 55.30	 	 2.2	 0.14	 0.12	 0.022	  0.13	  2.4	 0.4	 0.4	     	FIRST	NVSS	RASS
22 40 17.262	+08 33 57.07	 	 2.0	 0.10	 0.15	 0.025	  0.25	  9.4	 0.9	 8.2	     	FIRST	NVSS	RASS
12 19 52.969	+08 56 15.35	 	 1.8	 0.14	 0.13	 0.025	  0.71	     	    	    	     	FIRST	NVSS	RASS
14 02 55.708	+09 25 14.54	 	 4.4	 0.19	 0.21	 0.020	  3.26	  6.9	 0.5	 4.5	     	FIRST	NVSS	RASS
13 34 13.828	+09 38 08.01	 	 2.2	 0.15	 0.15	 0.024	  0.44	     	    	    	     	FIRST	NVSS	RASS
11 39 17.604	+09 57 45.03	 	 2.0	 0.14	 0.10	 0.021	  0.55	     	    	    	     	FIRST	NVSS	RASS
11 41 52.959	+10 18 15.75	 	 2.1	 0.14	 0.10	 0.020	  0.14	  2.9	 0.4	 1.9	     	FIRST	NVSS	RASS
12 32 56.778	+11 23 24.64	 	 2.3	 0.17	 0.16	 0.024	  0.41	     	    	    	     	FIRST	NVSS	RASS
13 29 30.908	+11 44 44.77	 	 1.8	 0.14	 0.12	 0.024	  0.47	     	    	    	     	FIRST	NVSS	RASS
11 48 27.531	+12 43 38.39	 	 6.2	 0.19	 0.14	 0.014	  0.42	  8.8	 1.0	 2.5	     	FIRST	NVSS	RASS
16 04 28.180	+14 46 56.84	 	 3.7	 0.14	 0.11	 0.016	  0.12	  2.6	 0.5	-2.0	     	FIRST	NVSS	RASS
07 54 26.555	+16 13 05.27	 	 9.8	 0.13	 0.29	 0.016	 13.05	 10.5	 0.5	 1.1	     	FIRST	NVSS	RASS
11 39 14.889	+17 08 37.41	 	 6.2	 0.14	 0.33	 0.021	  0.39	  6.6	 0.5	 0.7	 37.3	FIRST	NVSS	RASS
13 32 43.365	+18 10 34.78	 	 2.7	 0.15	 0.17	 0.023	  2.28	  3.8	 0.4	 2.5	     	FIRST	NVSS	RASS
11 43 02.141	+19 38 31.29	 	 8.5	 0.14	 0.55	 0.023	 27.73	  6.7	 0.5	-3.1	     	FIRST	NVSS	RASS
11 44 32.113	+20 06 23.67	 	 2.8	 0.17	 0.19	 0.024	  0.13	  3.1	 0.4	 0.7	     	FIRST	NVSS	RASS
12 05 29.340	+20 14 48.23	 	 3.1	 0.14	 0.21	 0.024	  0.37	  8.4	 1.3	 4.0	     	FIRST	NVSS	RASS
12 04 29.717	+20 18 58.52	 	 2.5	 0.14	 0.15	 0.022	  0.79	  4.4	 0.4	 4.3	     	FIRST	NVSS	RASS
12 01 44.901	+20 19 41.84	 	 2.4	 0.14	 0.15	 0.024	  0.19	     	    	    	     	FIRST	NVSS	RASS
11 52 30.543	+20 37 31.62	 	 1.8	 0.15	 0.10	 0.022	  0.17	     	    	    	     	FIRST	NVSS	RASS
11 52 42.608	+20 37 52.89	 	 4.5	 0.15	 0.26	 0.022	  0.23	  5.5	 0.4	 2.2	     	FIRST	NVSS	RASS
10 41 52.953	+21 15 09.35	 	 3.1	 0.15	 0.23	 0.025	  0.28	  2.5	 0.4	-1.4	     	FIRST	NVSS	RASS
12 14 53.824	+22 08 22.56	 	 2.0	 0.14	 0.14	 0.024	  9.41	     	    	    	     	FIRST	NVSS	RASS
11 18 06.635	+23 23 50.76	 	 2.1	 0.13	 0.12	 0.022	  0.47	     	    	    	     	FIRST	NVSS	RASS
09 47 10.836	+23 30 51.86	 	 2.3	 0.14	 0.12	 0.021	 10.46	     	    	    	     	FIRST	NVSS	RASS
15 39 27.500	+24 56 51.51	 	 9.3	 0.15	 0.58	 0.023	  0.09	 20.1	 1.0	10.3	     	FIRST	NVSS	RASS
12 53 59.118	+26 26 38.68	 	 2.4	 0.14	 0.16	 0.024	  0.19	  4.1	 0.5	 3.2	     	FIRST	NVSS	RASS
12 35 41.168	+26 31 22.78	 	 1.9	 0.18	 0.11	 0.022	  0.44	     	    	    	     	FIRST	NVSS	RASS
13 26 51.288	+26 35 28.53	 	 1.7	 0.13	 0.11	 0.023	  0.13	  2.2	 0.4	 1.1	     	FIRST	NVSS	RASS
07 59 17.875	+27 04 40.32	 	 1.8	 0.14	 0.11	 0.023	  0.09	     	    	    	     	FIRST	NVSS	RASS
13 19 40.071	+27 42 21.79	 	 3.2	 0.13	 0.20	 0.023	  0.03	  6.0	 1.2	 2.3	     	FIRST	NVSS	RASS
13 12 25.858	+28 32 15.74	 	 4.9	 0.10	 0.26	 0.021	  0.15	  5.1	 0.4	 0.5	     	FIRST	NVSS	RASS
09 58 40.109	+28 52 38.98	 	 3.5	 0.16	 0.19	 0.021	  0.29	  2.4	 0.4	-2.6	     	FIRST	NVSS	RASS
11 45 58.380	+29 19 57.58	 	 2.0	 0.15	 0.12	 0.023	  0.24	     	    	    	     	FIRST	NVSS	RASS
14 05 28.328	+30 46 02.02	 	 7.8	 0.14	 0.58	 0.025	  0.02	  7.2	 0.5	-1.1	     	FIRST	NVSS	RASS
13 23 59.882	+30 55 56.94	 	 2.5	 0.14	 0.14	 0.022	  0.94	  2.7	 0.5	 0.5	     	FIRST	NVSS	RASS
13 23 45.004	+31 33 56.68	 	 3.7	 0.15	 0.11	 0.016	  0.19	158.7	 5.1	30.4	     	FIRST	NVSS	RASS
12 09 09.831	+31 34 10.19	 	 2.5	 0.14	 0.15	 0.023	  0.07	  4.0	 0.5	 2.8	     	FIRST	NVSS	RASS
12 38 48.796	+31 59 05.63	 	 4.2	 0.15	 0.26	 0.023	  0.06	  4.8	 0.4	 1.4	     	FIRST	NVSS	RASS
12 13 09.305	+32 35 47.07	 	 1.7	 0.16	 0.13	 0.025	  0.20	  2.2	 0.4	 1.1	     	FIRST	NVSS	RASS
09 20 36.948	+33 04 29.06	 	 3.2	 0.11	 0.18	 0.022	  0.22	  4.4	 0.4	 2.9	     	FIRST	NVSS	RASS
09 19 45.473	+33 44 42.28	 	 3.7	 0.14	 0.13	 0.017	  0.30	  5.0	 0.4	 2.9	     	FIRST	NVSS	RASS
09 19 45.473	+33 44 42.28	 	 3.7	 0.14	 0.24	 0.023	 24.04	  5.0	 0.4	 2.9	     	FIRST	NVSS	RASS
12 50 52.959	+34 09 24.54	 	 3.3	 0.13	 0.21	 0.023	  0.26	  3.3	 0.5	 0.0	     	FIRST	NVSS	RASS
13 34 25.231	+34 41 26.07	 	 1.6	 0.15	 0.11	 0.024	  0.53	  3.6	 0.5	 3.9	 85.8	FIRST	NVSS	RASS
11 11 18.082	+35 23 08.26	 	 1.7	 0.16	 0.13	 0.025	  0.52	     	    	    	     	FIRST	NVSS	RASS
07 59 57.145	+35 48 51.54	 	 6.1	 0.15	 0.22	 0.018	  0.02	  9.2	 0.5	 5.6	     	FIRST	NVSS	RASS
08 50 56.603	+36 20 07.65	 	 1.9	 0.16	 0.14	 0.025	  0.39	  3.4	 0.4	 3.5	     	FIRST	NVSS	RASS
09 39 17.261	+36 33 44.17	 	 4.8	 0.15	 0.23	 0.020	  0.30	  4.0	 0.4	-1.8	 13.2	FIRST	NVSS	RASS
10 37 22.113	+37 04 39.35	 	 2.9	 0.14	 0.19	 0.023	  1.47	  4.7	 0.5	 3.5	     	FIRST	NVSS	RASS
10 37 37.903	+37 27 20.27	 	 2.2	 0.14	 0.14	 0.023	  0.08	  3.4	 0.5	 2.2	     	FIRST	NVSS	RASS
09 50 00.613	+37 34 31.40	 	 1.7	 0.15	 0.11	 0.023	  0.11	  2.8	 0.5	 2.0	     	FIRST	NVSS	RASS
09 43 02.176	+37 49 23.37	 	 2.4	 0.13	 0.14	 0.022	  0.16	  2.4	 0.4	 0.0	     	FIRST	NVSS	RASS
10 13 47.920	+38 40 32.19	 	 2.4	 0.15	 0.12	 0.021	  0.49	  2.8	 0.4	 0.8	     	FIRST	NVSS	RASS
10 13 51.543	+38 47 02.29	 	 6.2	 0.14	 0.40	 0.023	 69.63	  3.7	 0.4	-5.4	     	FIRST	NVSS	RASS
13 37 28.941	+38 58 13.82	 	 3.2	 0.22	 0.15	 0.020	  0.40	     	    	    	     	FIRST	NVSS	RASS
10 15 01.568	+39 39 48.41	 	 1.9	 0.13	 0.12	 0.023	  0.32	     	    	    	     	FIRST	NVSS	RASS
10 55 06.921	+40 34 00.91	 	 2.4	 0.14	 0.18	 0.025	  0.52	     	    	    	     	FIRST	NVSS	RASS
12 25 46.309	+45 17 24.25	 	 3.3	 0.13	 0.22	 0.024	  0.44	  3.8	 0.4	 1.1	     	FIRST	NVSS	RASS
13 07 08.149	+46 18 34.24	 	 1.5	 0.14	 0.11	 0.025	  0.17	     	    	    	     	FIRST	NVSS	RASS
10 44 18.973	+52 46 12.56	 	 7.9	 0.14	 0.58	 0.025	  0.14	  5.4	 0.4	-5.1	     	FIRST	NVSS	RASS
07 58 00.444	+52 51 42.18	 	 6.3	 0.14	 0.26	 0.019	  0.05	  7.0	 0.5	 1.2	     	FIRST	NVSS	RASS
00 21 51.145	-09 29 32.20	 	 3.3	 0.16	 0.17	 0.021	  0.13	  5.1	 0.5	 3.4	     	FIRST	NVSS	RASS
13 46 22.224	-03 25 06.81	 	 3.2	 0.19	 0.21	 0.024	  1.33	  5.5	 0.5	 4.3	     	FIRST	NVSS	RASS
14 00 31.163	-02 51 39.17	 	 1.4	 0.15	 0.10	 0.025	 91.17	     	    	    	     	FIRST	NVSS	RASS
14 00 37.212	-02 51 28.47	 	 2.9	 0.15	 0.21	 0.025	  0.34	  6.4	 0.5	 6.6	 18.8	FIRST	NVSS	RASS
02 02 03.248	-00 05 18.72	 	 2.3	 0.11	 0.11	 0.020	183.41	     	    	    	     	FIRST	NVSS	RASS
02 55 52.403	+01 04 09.95	 	 3.0	 0.14	 0.10	 0.017	 63.90	     	    	    	     	FIRST	NVSS	RASS
12 03 21.111	+04 13 41.29	 	 2.3	 0.22	 0.11	 0.020	 24.70	     	    	    	     	FIRST	NVSS	RASS
12 03 21.026	+04 13 48.54	 	 2.0	 0.22	 0.10	 0.020	 25.28	     	    	    	     	FIRST	NVSS	RASS
14 08 04.001	+07 19 40.07	 	 2.8	 0.15	 0.19	 0.024	  0.63	  3.6	 0.4	 1.7	     	FIRST	NVSS	RASS
12 26 03.665	+08 15 18.97	 	 5.1	 0.15	 0.36	 0.025	  0.39	  2.9	 0.4	-4.7	     	FIRST	NVSS	RASS
12 01 52.231	+08 29 45.18	 	 2.4	 0.14	 0.12	 0.021	 35.46	  3.4	 0.4	 2.3	     	FIRST	NVSS	RASS
13 39 26.009	+15 12 46.45	 	 1.9	 0.14	 0.10	 0.021	105.81	     	    	    	     	FIRST	NVSS	RASS
15 59 13.913	+19 43 15.09	 	 5.6	 0.15	 0.23	 0.019	210.97	 11.3	 0.5	10.4	     	FIRST	NVSS	RASS
11 36 19.975	+20 31 18.65	 	 6.9	 0.14	 0.37	 0.021	  0.32	  6.5	 0.5	-0.7	     	FIRST	NVSS	RASS
12 05 48.207	+20 27 48.27	 	 6.9	 0.15	 0.46	 0.024	215.69	     	    	    	     	FIRST	NVSS	RASS
16 29 33.664	+21 47 12.34	 	 3.8	 0.15	 0.13	 0.017	 43.63	  3.7	 0.4	-0.2	     	FIRST	NVSS	RASS
15 34 53.723	+23 28 16.48	 	 5.1	 0.14	 0.20	 0.018	126.21	  4.4	 0.4	-1.6	     	FIRST	NVSS	RASS
13 26 51.288	+26 35 28.53	 	 1.7	 0.13	 0.11	 0.024	  6.41	  2.2	 0.4	 1.1	     	FIRST	NVSS	RASS
11 23 11.334	+29 56 29.57	 	 4.0	 0.14	 0.27	 0.024	  0.27	  4.0	 0.4	 0.1	     	FIRST	NVSS	RASS
09 52 46.770	+30 02 20.16	 	 3.8	 0.13	 0.21	 0.021	 27.11	  3.1	 0.4	-1.7	     	FIRST	NVSS	RASS
09 16 41.894	+30 54 55.35	 	 1.9	 0.14	 0.12	 0.023	  0.47	     	    	    	     	FIRST	NVSS	RASS
12 50 08.706	+33 09 33.34	 	 3.1	 0.17	 0.20	 0.024	  0.41	  7.4	 1.1	 3.9	     	FIRST	NVSS	RASS
14 36 23.708	+35 54 19.16	 	 6.0	 0.15	 0.13	 0.014	223.46	  5.5	 0.4	-1.1	     	FIRST	NVSS	RASS
13 56 04.438	+38 18 15.27	 	 2.8	 0.14	 0.11	 0.019	  0.26	  4.8	 0.5	 3.9	     	FIRST	NVSS	RASS
08 33 30.775	+41 31 31.89	 	 2.9	 0.14	 0.21	 0.025	  0.26	  2.7	 0.4	-0.5	     	FIRST	NVSS	RASS
13 11 34.032	+44 55 59.05	 	 3.3	 0.14	 0.24	 0.025	  0.07	     	    	    	     	FIRST	NVSS	RASS
10 11 07.608	+46 54 56.00	 	 3.2	 0.15	 0.23	 0.025	  0.71	  3.9	 0.4	 1.7	     	FIRST	NVSS	RASS
10 44 38.235	+56 22 11.18	 	 4.5	 0.15	 0.31	 0.024	  0.37	  5.2	 0.4	 1.5	     	FIRST	NVSS	RASS

