#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T09:37:44 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T09:37:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/649/A18/tableh1&-order=I&-out=Galaxy&-out=logMdust&-out=e_logMdust&-out=logUav&-out=e_logUav&-out=logqAF&-out=e_logqAF&-out=logMgas&-out=e_logMgas&-out=logfmol&-out=e_logfmol&-out=logMstar&-out=e_logMstar&-out=logsSFR&-out=e_logsSFR&-out=logOovHp12&-out=e_logOovHp12&-out=SimbadName&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36490018
#Name: J/A+A/649/A18
#Title: Nearby galaxy perspective on dust evolution (Galliano+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/649/a18	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/649/a18	    IVOID of underlying data collection
#INFO	creator=Galliano F.	    First author or institution
#INFO	cites=bibcode:2021A&A...649A..18G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/649/A18	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36490018	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-01-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_649_A18_tableh1:
#Name: J/A+A/649/A18/tableh1
#Title: SED fitting results
#Column	Galaxy	(a15)	Galaxy name according to the DustPedia catalog (1)	[ucd=meta.id;meta.main]
#Column	logMdust	(E11.4)	Decimal logarithm of the dust mass	[ucd=phys.mass]
#Column	e_logMdust	(E11.4)	Uncertainty on logMdust	[ucd=stat.error]
#Column	logUav	(E11.4)	Decimal logarithm of the average starlight intensity, U, in 2.2E-5W/m2	[ucd=phot.mag;em.opt.U]
#Column	e_logUav	(E11.4)	Uncertainty on logUav	[ucd=stat.error]
#Column	logqAF	(E11.4)	Decimal logarithm of the mass fraction of small a-C(:H) grains	[ucd=phys.mass]
#Column	e_logqAF	(E11.4)	Uncertainty on logqAF	[ucd=stat.error]
#Column	logMgas	(E11.4)	? Decimal logarithm of the gas mass	[ucd=phys.mass]
#Column	e_logMgas	(E11.4)	? Uncertainty on logMgas	[ucd=stat.error]
#Column	logfmol	(E11.4)	? Decimal logarithm of the mass fraction of molecular gas	[ucd=phys.mass]
#Column	e_logfmol	(E11.4)	? Uncertainty on logfmol	[ucd=stat.error]
#Column	logMstar	(E11.4)	? Decimal logarithm of the stellar mass	[ucd=phys.mass]
#Column	e_logMstar	(E11.4)	? Uncertainty on logMstar	[ucd=stat.error]
#Column	logsSFR	(E11.4)	? Decimal logarithm of the specific star formation rate	[ucd=phys.SFR]
#Column	e_logsSFR	(E11.4)	? Uncertainty on logsSFR	[ucd=stat.error]
#Column	logOovHp12	(E11.4)	? Metallicity expressed as 12+log(O/H)	[ucd=phys.abund]
#Column	e_logOovHp12	(E11.4)	? Uncertainty on 12+log(O/H)	[ucd=stat.error]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Galaxy	logMdust	e_logMdust	logUav	e_logUav	logqAF	e_logqAF	logMgas	e_logMgas	logfmol	e_logfmol	logMstar	e_logMstar	logsSFR	e_logsSFR	logOovHp12	e_logOovHp12	SimbadName	_RA	_DE
NGC0254        	 5.9352e+00	 1.9906e-01	 1.9324e-01	 2.6654e-01	-9.4949e-01	 1.3044e-01	           	           	           	           	 1.0228e+01	 7.4974e-02	-1.1855e+01	 3.9959e-01	           	           	NGC0254                 	011.86517	-31.42183
ESO411-016     	 5.7652e+00	 2.4065e-01	 3.3056e-01	 2.5847e-01	-1.1593e+00	 1.3444e-01	 8.6112e+00	 1.0143e-01	           	           	 8.6404e+00	 1.2612e-01	-9.7548e+00	 1.4137e-01	           	           	ESO411-016              	011.91475	-27.94760
NGC0289        	 7.5106e+00	 4.1580e-02	 2.9594e-01	 3.5833e-02	-9.5747e-01	 2.8533e-02	 1.0530e+01	 1.4792e-02	           	           	 1.0517e+01	 6.7507e-02	-1.0165e+01	 9.1204e-02	 8.5970e+00	 1.0514e-02	NGC0289                 	013.17652	-31.20583
ESO411-026     	 5.6239e+00	 4.0263e-01	-1.3044e-01	 4.5865e-01	-1.1246e+00	 2.0496e-01	           	           	           	           	 8.3680e+00	 1.6476e-01	-1.0010e+01	 1.8687e-01	           	           	ESO411-026              	013.18904	-31.71814
ESO411-027     	 5.8989e+00	 4.0573e-01	-2.0089e-01	 4.4534e-01	-1.0551e+00	 1.9736e-01	           	           	           	           	 8.3695e+00	 2.5436e-01	-9.8153e+00	 2.6612e-01	           	           	ESO411-027              	013.21500	-27.32556
NGC0300        	 6.9264e+00	 5.0355e-02	-5.5885e-01	 6.7025e-02	-9.3841e-01	 4.6663e-02	 9.4081e+00	 3.4368e-02	           	           	 9.1983e+00	 9.8507e-02	-9.9002e+00	 1.1620e-01	 8.2573e+00	 1.0436e-02	NGC0300                 	013.72269	-37.68422
NGC0337        	 7.0811e+00	 5.5782e-02	 6.4516e-01	 5.3706e-02	-1.2070e+00	 5.2084e-02	 9.7261e+00	 2.2119e-02	           	           	 9.6689e+00	 8.0660e-02	-9.3728e+00	 8.6753e-02	 8.3310e+00	 6.2394e-02	NGC0337                 	014.95871	-07.57796
ESO351-030     	 3.0481e-01	 3.7299e-01	-7.3115e-01	 4.0116e-01	-7.8103e-01	 5.0152e-01	 5.5568e+00	 4.0133e-03	           	           	 2.3317e+00	 2.8586e-01	           	           	           	           	ESO351-030              	015.03917	-33.70889
IC1613         	 4.3362e+00	 1.5634e-01	 2.7281e-01	 2.9808e-01	-1.4206e+00	 1.6665e-01	 7.7941e+00	 2.7964e-03	           	           	 7.6752e+00	 1.0119e-01	-9.9601e+00	 1.1176e-01	 7.9505e+00	 6.2399e-02	IC1613                  	016.22583	+02.13333
NGC0428        	 6.8520e+00	 7.9543e-02	 1.2083e-01	 7.9942e-02	-1.1891e+00	 6.8027e-02	 9.7269e+00	 1.1249e-03	           	           	 9.5164e+00	 5.4341e-02	-9.6635e+00	 6.0550e-02	 8.2244e+00	 2.7801e-02	NGC0428                 	018.23212	+00.98158
UGC00772       	 5.0680e+00	 5.4968e-01	-3.3883e-01	 5.6221e-01	-1.1152e+00	 2.5222e-01	 8.5715e+00	 6.6176e-03	           	           	 7.6788e+00	 2.3780e-01	-9.2595e+00	 2.3996e-01	           	           	UGC00772                	018.41854	+00.87754
NGC0448        	 6.1582e+00	 2.2137e-01	 3.4546e-01	 2.5703e-01	-9.9737e-01	 1.0802e-01	           	           	           	           	 1.0397e+01	 7.2187e-02	           	           	           	           	NGC0448                 	018.81887	-01.62611
NGC0493        	 7.2070e+00	 6.2082e-02	 1.3048e-01	 5.5954e-02	-1.0855e+00	 3.0743e-02	 9.6285e+00	 2.7067e-03	           	           	 9.6017e+00	 6.9775e-02	-9.7004e+00	 9.0609e-02	 8.3147e+00	 2.3032e-02	NGC0493                 	020.53744	+00.94534
UGC00931       	 6.3119e+00	 3.1740e-01	 5.5698e-02	 3.4405e-01	-1.3022e+00	 1.6618e-01	 9.1687e+00	 6.3735e-02	           	           	 8.6568e+00	 1.4122e-01	-9.8108e+00	 2.0518e-01	 8.0290e+00	 6.6032e-02	UGC00931                	020.81087	-00.70064
NGC0520        	 7.4509e+00	 5.7972e-02	 1.1448e+00	 5.6218e-02	-1.3083e+00	 9.3541e-03	           	           	           	           	 1.0350e+01	 6.0100e-02	-9.4260e+00	 7.0626e-02	           	           	NGC0520                 	021.14613	+03.79241
NGC0584        	 6.0724e+00	 2.0078e-01	 8.3666e-01	 2.4693e-01	-9.4433e-01	 1.2552e-01	           	           	           	           	 1.0970e+01	 3.9091e-02	-1.2733e+01	 3.7503e-01	           	           	NGC0584                 	022.83648	-06.86806
NGC0586        	 6.5771e+00	 8.9977e-02	 8.0778e-02	 1.0260e-01	-8.7156e-01	 6.0980e-02	           	           	           	           	 9.8999e+00	 6.4181e-02	-1.1308e+01	 3.1036e-01	           	           	NGC0586                 	022.90350	-06.89380
NGC0613        	 8.0104e+00	 1.6634e-02	 6.1164e-01	 2.1376e-02	-1.0187e+00	 1.0654e-02	 1.0372e+01	 1.1641e-01	-4.7207e-01	 1.9072e-01	 1.0901e+01	 8.9980e-02	-9.8556e+00	 1.3349e-01	 8.5640e+00	 2.1840e-02	NGC0613                 	023.57598	-29.41849
NGC0625        	 5.6336e+00	 1.1613e-01	 6.1317e-01	 9.6970e-02	-1.2908e+00	 6.5181e-02	 8.4257e+00	 2.2766e-02	           	           	 8.5150e+00	 1.0120e-01	-9.7919e+00	 1.2643e-01	 8.0391e+00	 1.4866e-02	NGC0625                 	023.76930	-41.43620
NGC0628        	 7.6412e+00	 7.1765e-02	 1.7780e-01	 9.4648e-02	-8.1429e-01	 3.8906e-02	 1.0460e+01	 5.3572e-03	-1.4065e+00	 1.4547e-01	 1.0145e+01	 6.2934e-02	-9.7851e+00	 1.0317e-01	 8.4814e+00	 6.1004e-03	NGC0628                 	024.17405	+15.78346
NGC0678        	 7.1872e+00	 9.9103e-02	-1.5109e-01	 1.0299e-01	-7.0209e-01	 5.7220e-02	 9.9602e+00	 1.0646e-01	           	           	 1.0777e+01	 5.0140e-02	-1.1538e+01	 3.7798e-01	           	           	NGC0678                 	027.35358	+21.99730
NGC0720        	 6.2841e+00	 3.6838e-01	 6.0175e-01	 4.4275e-01	-6.8684e-01	 2.1152e-01	           	           	           	           	 1.1369e+01	 4.3282e-02	-1.2965e+01	 4.1118e-01	           	           	NGC0720                 	028.25218	-13.73868
PGC007045      	 6.2714e+00	 8.7692e-02	 1.6662e-01	 9.7315e-02	-9.1640e-01	 4.6615e-02	           	           	           	           	 9.5755e+00	 6.2892e-02	-1.1113e+01	 3.8006e-01	           	           	PGC007045               	028.51307	-14.25292
NGC0855        	 5.5791e+00	 9.1738e-02	 6.6345e-01	 8.8096e-02	-1.0963e+00	 6.5687e-02	 8.2808e+00	 3.0308e-02	           	           	 8.9654e+00	 7.8770e-02	-1.0737e+01	 2.1395e-01	           	           	NGC0855                 	033.51505	+27.87717
PGC008962      	 5.7944e+00	 3.3830e-01	 7.1161e-02	 3.1910e-01	-1.3188e+00	 1.6114e-01	 9.1936e+00	 2.8256e-02	           	           	 8.6689e+00	 1.5272e-01	-9.7031e+00	 1.6101e-01	 8.0553e+00	 7.8364e-02	PGC008962               	035.36917	-04.41306
NGC0895        	 7.7504e+00	 4.1266e-02	 4.7820e-02	 3.7390e-02	-8.6879e-01	 1.0629e-02	 1.0277e+01	 1.9073e-02	           	           	 1.0293e+01	 6.8717e-02	-9.8308e+00	 8.5828e-02	 8.4309e+00	 3.0629e-02	NGC0895                 	035.40196	-05.52139
NGC0891        	 7.7438e+00	 7.9537e-03	 4.8728e-01	 1.3412e-02	-1.0211e+00	 1.3049e-02	 1.0010e+01	 4.9337e-02	-6.1946e-01	 1.4346e-01	 1.0490e+01	 1.0522e-01	-1.0335e+01	 2.9640e-01	           	           	NGC0891                 	035.63711	+42.34832
NGC0925        	 7.4667e+00	 5.6409e-02	-2.9274e-01	 7.4223e-02	-9.5347e-01	 6.9551e-02	 1.0067e+01	 2.1306e-03	-1.7627e+00	 1.3787e-01	 9.6705e+00	 8.5345e-02	-9.6126e+00	 8.8915e-02	 8.3031e+00	 1.1916e-02	NGC0925                 	036.82047	+33.57888
PGC009485      	 6.5968e+00	 2.2647e-01	 8.9876e-01	 2.4114e-01	-1.1008e+00	 6.4433e-02	           	           	           	           	 9.9384e+00	 7.1336e-02	-9.8433e+00	 1.1739e-01	           	           	PGC009485               	037.38190	-03.21296
NGC1056        	 7.2456e+00	 3.4184e-02	 7.1849e-01	 3.6197e-02	-1.0029e+00	 1.9084e-02	 9.9736e+00	 2.0571e-02	           	           	 1.0314e+01	 7.8306e-02	-1.0029e+01	 1.4333e-01	 8.4401e+00	 3.6450e-02	NGC1056                 	040.70120	+28.57427
NGC1097        	 7.7763e+00	 1.8654e-02	 5.8528e-01	 2.1354e-02	-1.0109e+00	 9.5843e-03	 1.0264e+01	 6.6623e-02	-4.8034e-01	 1.3935e-01	 1.0842e+01	 7.7838e-02	-1.0040e+01	 1.0465e-01	 8.5460e+00	 4.4651e-02	NGC1097                 	041.57941	-30.27491
NGC1140        	 6.3399e+00	 9.0641e-02	 9.1230e-01	 8.6594e-02	-1.2945e+00	 6.5048e-02	 9.5496e+00	 1.6152e-02	-2.1191e+00	 1.6536e-01	 9.1015e+00	 1.1179e-01	-9.0968e+00	 1.1414e-01	 8.2476e+00	 7.6415e-02	NGC1140                 	043.63969	-10.02865
PGC166069      	 5.3368e+00	 3.5791e-01	-1.8421e-01	 3.4764e-01	-1.0142e+00	 1.5616e-01	 7.7887e+00	 4.5138e-01	           	           	 7.9837e+00	 1.6839e-01	           	           	           	           	PGC166069               	043.92876	+58.86095
UGC02392       	 6.2750e+00	 1.7352e-01	 6.5123e-02	 2.0115e-01	-9.8987e-01	 1.1006e-01	 9.1295e+00	 8.3423e-03	           	           	 9.4433e+00	 9.5109e-02	-1.0433e+01	 1.2588e-01	           	           	UGC02392                	043.94330	+33.76648
NGC1189        	 7.0203e+00	 1.3223e-01	-1.3586e-01	 1.4641e-01	-9.7885e-01	 6.5742e-02	           	           	           	           	 9.6222e+00	 1.0170e-01	-1.0077e+01	 1.1966e-01	           	           	NGC1189                 	045.85196	-15.62347
NGC1222        	 6.8168e+00	 1.9238e-02	 1.4695e+00	 1.8534e-02	-1.2967e+00	 1.3000e-02	 9.4797e+00	 4.5110e-02	           	           	 9.7812e+00	 9.0241e-02	-9.0342e+00	 1.0514e-01	           	           	NGC1222                 	047.23645	-02.95521
PGC166071      	 6.5958e+00	 4.5312e-01	 3.5146e-01	 3.6642e-01	-9.5707e-01	 1.5252e-01	           	           	           	           	 1.0403e+01	 1.5499e-01	           	           	           	           	PGC166071               	047.99538	+60.34698
ESO116-012     	 7.1837e+00	 2.9154e-01	 1.2376e-02	 2.6269e-01	-5.6934e-01	 4.1795e-02	           	           	           	           	           	           	           	           	           	           	ESO116-012              	048.26977	-57.35725
NGC1266        	 6.6032e+00	 3.2692e-02	 1.5381e+00	 3.2137e-02	-1.8917e+00	 1.0094e-02	           	           	           	           	 9.9643e+00	 9.7884e-02	-9.5811e+00	 1.1062e-01	           	           	NGC1266                 	049.00312	-02.42737
PGC012608      	 5.9661e+00	 2.9999e-01	 4.3509e-02	 3.1101e-01	-1.0470e+00	 1.5427e-01	           	           	           	           	 9.0029e+00	 1.2749e-01	-9.9174e+00	 1.4543e-01	           	           	PGC012608               	050.46500	-15.71056
NGC1317        	 6.6356e+00	 2.7081e-02	 6.3812e-01	 3.3364e-02	-9.2406e-01	 1.4493e-02	           	           	           	           	 1.0406e+01	 6.9591e-02	-1.1064e+01	 1.6416e-01	           	           	NGC1317                 	050.68450	-37.10366
NGC1336        	 5.8678e+00	 2.5936e-01	-4.6106e-02	 2.6782e-01	-9.4332e-01	 1.2505e-01	           	           	           	           	 9.9006e+00	 7.4723e-02	-1.1651e+01	 3.9756e-01	           	           	NGC1336                 	051.63416	-35.71357
ESO358-006     	 5.5397e+00	 4.2649e-01	 3.8812e-02	 5.3105e-01	-8.2858e-01	 2.5744e-01	           	           	           	           	 8.1664e+00	 1.5311e-01	-9.9474e+00	 1.7191e-01	           	           	ESO358-006              	051.82520	-34.52643
NGC1351A       	 6.8429e+00	 7.4303e-02	-2.2708e-01	 8.1923e-02	-8.8390e-01	 3.7357e-02	 8.9114e+00	 9.2252e-02	-8.9066e-01	 1.4775e-01	 9.4670e+00	 8.0776e-02	-1.0614e+01	 1.5912e-01	           	           	NGC1351A                	052.20299	-35.17816
NGC1351        	 6.1469e+00	 3.2989e-01	 5.5244e-02	 3.3639e-01	-8.6204e-01	 1.4585e-01	           	           	           	           	 1.0485e+01	 7.6075e-02	-1.2186e+01	 3.3679e-01	           	           	NGC1351                 	052.64576	-34.85395
PGC013058      	 5.7259e+00	 1.8157e-01	 1.7903e-01	 2.0460e-01	-1.0026e+00	 9.9342e-02	           	           	           	           	 8.8489e+00	 9.3157e-02	-1.0613e+01	 2.1864e-01	           	           	PGC013058               	052.78440	-36.29011
PGC013084      	 5.4310e+00	 4.0547e-01	-4.1594e-01	 3.6584e-01	-9.0224e-01	 1.6090e-01	           	           	           	           	 9.3495e+00	 8.1748e-02	-1.1566e+01	 1.6542e-01	           	           	PGC013084               	052.85345	-35.33097
PGC013097      	 5.4926e+00	 3.4776e-01	 1.0238e-01	 4.4343e-01	-1.0383e+00	 1.9634e-01	           	           	           	           	 8.8647e+00	 1.0117e-01	-1.1230e+01	 4.5851e-01	           	           	PGC013097               	052.94862	-35.05153
PGC013146      	 5.2999e+00	 3.8909e-01	-2.4250e-01	 4.1843e-01	-9.7413e-01	 1.7645e-01	           	           	           	           	 9.0974e+00	 8.9920e-02	-1.1493e+01	 3.4082e-01	           	           	PGC013146               	053.19849	-34.23874
ESO358-015     	 5.2352e+00	 3.2671e-01	 1.2719e-01	 3.5836e-01	-1.0668e+00	 1.6750e-01	 8.2960e+00	 5.0347e-02	           	           	 8.3864e+00	 1.2747e-01	-1.0146e+01	 1.5949e-01	           	           	ESO358-015              	053.27833	-34.80750
ESO358-016     	 5.7993e+00	 3.8973e-01	-1.3117e-02	 3.9940e-01	-1.0562e+00	 1.6671e-01	           	           	           	           	 8.3709e+00	 1.6029e-01	-1.0085e+01	 2.1411e-01	           	           	ESO358-016              	053.28833	-35.71853
NGC1365        	 8.0176e+00	 1.9612e-02	 7.2295e-01	 3.3408e-02	-1.1633e+00	 1.8548e-02	 1.0400e+01	 6.8129e-02	-4.0795e-01	 1.3920e-01	 1.0810e+01	 9.1799e-02	-9.7602e+00	 1.9429e-01	 8.5512e+00	 1.2017e-02	NGC1365                 	053.40191	-36.14066
PGC013230      	 5.5207e+00	 4.4769e-01	-2.8875e-01	 4.1032e-01	-9.4461e-01	 1.7925e-01	           	           	           	           	 9.1405e+00	 8.6215e-02	-1.1633e+01	 5.1003e-01	           	           	PGC013230               	053.62281	-35.54640
ESO358-019     	 5.7157e+00	 5.3179e-01	-4.3843e-01	 4.9024e-01	-1.0653e+00	 2.1760e-01	           	           	           	           	 8.3770e+00	 1.8910e-01	           	           	           	           	ESO358-019              	053.62865	-34.29765
NGC1373        	 5.3782e+00	 3.8021e-01	-2.5599e-01	 3.7398e-01	-8.9466e-01	 1.6554e-01	           	           	           	           	 9.5672e+00	 6.4733e-02	-1.2234e+01	 3.7687e-01	           	           	NGC1373                 	053.74670	-35.17118
