#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T10:24:29 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T10:24:29	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VII/161/catalog&-order=I&-out=SPB&-out=Name&-out=RAB1950&-out=DEB1950&-out=HVel&-out=Group&-out=i&-out=BT&-out=logD25&-out=IRAS&-out=logR25&-out=logFIR&-out=Name2&-out=type&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7161
#Name: VII/161
#Title: Nearby Galaxies (Schmidt+ 1993)
#INFO	ivoid=ivo://cds.vizier/vii/161	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/161	    IVOID of underlying data collection
#INFO	creator=Schmidt K.-H.	    First author or institution
#INFO	cites=bibcode:1993AN....314..371S	    Article or Data origin sources
#INFO	journal=AN	    Journal name
#INFO	original_date=1993	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/161	    Dataset landing page
#INFO	publication_date=2013-03-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_161_catalog:
#Name: VII/161/catalog
#Title: The Catalogue
#Column	SPB	(I3)	[1/276]+ Running number in order of RA1950	[ucd=meta.id;meta.main]
#Column	Name	(a19)	Name (or comma-separated list of names)	[ucd=meta.id]
#Column	RAB1950	(A7)	Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A6)	Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	HVel	(I4)	[]? Heliocentric velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Group	(a6)	Group membership	[ucd=meta.code.member]
#Column	i	(I2)	[]? Inclination (face-on, in degrees)	[ucd=src.orbital.inclination]
#Column	BT	(F5.2)	[]? Observed total photoelectric blue mag.	[ucd=phot.mag;em.opt.B]
#Column	logD25	(F5.2)	[]? Logarithm of the angular diameter D25	[ucd=phys.angSize]
#Column	IRAS	(A10)	Name of the main infrared source from the IRAS catalogue (1988) (several for more than one possible identification)	[ucd=meta.id.cross]
#Column	logR25	(F5.2)	[]? Logarithm of the axis ratio R25	[ucd=phys.size.axisRatio]
#Column	logFIR	(F9.2)	[]? Logarithm of the far-infrared-flux (erg/cm2/s)	[ucd=phot.flux;em.IR]
#Column	Name2	(a19)	Alternate name(s)	[ucd=meta.id]
#Column	type	(F4.1)	[]? Morphological type (numerical encoded)	[ucd=src.morph.type]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
SPB	Name	RAB1950	DEB1950	HVel	Group	i	BT	logD25	IRAS	logR25	logFIR	Name2	type	_RA.icrs	_DE.icrs
 23	N404               	01 06.7	+35 27	 -45	field 	  	11.21	 1.54	01066+3527	 0.00	    -9.87	                   	-3.0	01 09 29.8	+35 42 58
 24	A0107+01           	01 07.4	+01 52	-230	LG    	  	     	     	          	     	         	                   	    	01 09 58.4	+02 07 58
 25	AND II             	01 13.5	+33 09	    	LG    	  	     	     	          	     	         	                   	-5.0	01 16 17.8	+33 24 49
 26	N598               	01 31.0	+30 24	-181	LG    	56	 6.27	 2.85	several   	 0.23	    -7.53	05-04-069          	 6.0	01 33 49.2	+30 39 22
 27	N625               	01 32.9	-41 41	 395	field 	66	11.71	 1.76	01329-4141	 0.48	    -9.53	-07-04-017         	 9.0	01 35 04.1	-41 25 41
 28	E245-05            	01 43.0	-43 51	 394	field 	35	12.70	 1.56	          	 0.06	         	                   	10.0	01 45 05.7	-43 35 59
 29	U1281              	01 46.6	+32 21	 158	field 	82	     	 1.65	          	 0.76	         	                   	 8.0	01 49 29.1	+32 35 53
 30	PHE                	01 49.0	-44 52	  56	LG    	  	     	     	          	     	         	                   	10.0	01 51 03.2	-44 37 11
 31	N784               	01 58.4	+28 36	 198	field 	79	12.23	 1.82	01584+2836	 0.64	   -10.41	                   	 7.5	02 01 16.0	+28 50 28
 32	A0232+59           	02 32.6	+59 26	 -10	B1    	36	14.60	 0.78	02329+5926	 0.08	    -9.43	                   	-3.0	02 36 20.7	+59 39 03
102	F565-V1            	09 16.6	+21 49	 491	field 	  	     	 0.85	          	     	         	                   	10.0	09 19 27.0	+21 36 18
 33	E115-21            	02 36.6	-61 33	 513	field 	90	     	 1.87	          	 0.87	         	                   	 8.0	02 37 52.0	-61 20 04
 34	E356-04            	02 37.8	-34 44	  45	LG    	50	 9.04	 2.80	          	 0.13	         	-06-07-001         	-5.0	02 39 52.3	-34 31 09
 35	UA39               	02 38.1	+59 23	  -4	B1    	66	     	 1.00	          	 0.00	         	                   	 4.0	02 41 52.6	+59 35 48
 36	E154-23            	02 55.3	-54 46	 578	field 	81	12.80	 1.93	02554-5445	 0.68	   -10.55	                   	10.0	02 56 46.3	-54 33 59
 37	N1156              	02 56.8	+25 02	 374	field 	42	12.32	 1.52	02567+2502	 0.13	    -9.51	                   	10.0	02 59 43.7	+25 13 54
 38	U2684              	03 17.6	+17 07	 350	field 	60	     	 1.26	          	 0.29	         	                   	10.0	03 20 25.5	+17 17 47
 39	N1313              	03 17.6	-66 41	 471	field 	40	 9.20	 1.96	03176-6640	 0.12	    -8.63	                   	 7.0	03 18 12.4	-66 30 09
 40	N1298              	03 17.8	-02 16	 300	field 	25	14.95	 1.20	03177-0215	 0.07	   -10.45	                   	-3.5	03 20 19.8	-02 05 13
 41	A0318+4038         	03 18.1	+40 38	 277	field 	  	     	 1.18	          	 0.17	         	                   	-2.0	03 21 23.8	+40 48 45
 42	N1311              	03 18.6	-52 22	 570	field 	81	     	 1.45	          	 0.54	         	                   	 9.0	03 20 03.7	-52 11 13
 43	U2716              	03 21.3	+17 35	 381	field 	  	     	 1.20	          	 0.25	         	                   	 8.0	03 24 08.2	+17 45 35
 44	I342DW5            	03 26.6	+66 20	    	B1    	  	     	     	03266+6619	     	    -9.98	                   	10.0	03 31 10.7	+66 30 14
 45	I342DW6            	03 27.8	+67 56	    	B1    	  	     	     	03277+6755	     	   -10.18	                   	10.0	03 32 33.1	+68 06 09
 46	I342DW7            	03 29.2	+67 56	    	B1    	  	     	     	          	     	         	                   	10.0	03 33 57.7	+68 06 04
 47	I1959              	03 31.7	-50 35	 639	field 	89	13.20	 1.45	03317-5034	 0.63	   -10.50	                   	 9.0	03 33 10.9	-50 24 58
 48	I342DW8            	03 33.7	+67 26	    	B1    	  	     	     	03337+6729	     	   -10.08	                   	10.0	03 38 26.3	+67 35 49
 49	I342DW10           	03 35.5	+66 33	    	B1    	  	     	     	03354+6633	     	    -9.88	                   	10.0	03 40 09.5	+66 42 42
 50	N1400              	03 37.3	-18 51	 524	field 	28	11.92	 1.36	03372-1850	 0.06	   -10.25	-03-10-022         	-3.0	03 39 33.2	-18 41 19
 51	I342DW12           	03 38.4	+68 06	    	B1    	  	     	     	          	     	         	                   	10.0	03 43 14.8	+68 15 32
 52	I342               	03 42.0	+67 56	  34	B1    	27	 9.10	 2.33	03419+6756	 0.01	    -7.78	                   	 6.0	03 46 51.1	+68 05 19
 53	I342DW17           	03 47.3	+70 57	    	B1    	  	     	     	          	     	         	                   	10.0	03 52 35.6	+71 05 59
 54	I342DW19           	03 53.4	+69 08	    	B1    	  	     	     	          	     	         	                   	10.0	03 58 28.5	+69 16 36
 55	U2905              	03 54.2	+16 23	 292	field 	  	     	 0.96	          	 0.19	         	                   	10.0	03 57 02.6	+16 31 38
 56	UA86               	03 55.0	+66 59	  80	B1    	30	     	 0.90	03550+6657	 0.06	    -9.56	A0355+66,11-05-000 	10.0	03 59 49.5	+67 07 31
 57	I342DW23           	04 00.4	+67 07	    	B1    	  	     	     	          	     	         	                   	10.0	04 05 16.2	+67 15 10
 58	I342DW24           	04 02.5	+68 16	    	B1    	  	     	     	          	     	         	                   	10.0	04 07 31.2	+68 24 02
 59	I2038              	04 07.8	-56 08	 712	field 	  	15.50	 1.24	          	 0.62	         	                   	 7.0	04 08 54.0	-56 00 11
 60	N1533              	04 08.8	-56 15	 706	field 	30	11.70	 1.44	04088-5614	 0.07	         	                   	-3.0	04 09 53.4	-56 07 14
 61	N1569              	04 26.1	+64 44	 -91	B1    	64	11.86	 1.56	04260+6444	 0.31	    -8.66	ARP210,11-06-001   	10.0	04 30 50.5	+64 50 30
 62	N1560              	04 27.1	+71 46	 -41	B1    	90	12.16	 1.99	04271+7146	 0.76	    -9.98	12-05-005          	 7.0	04 32 47.7	+71 52 24
 63	UA92               	04 27.4	+63 30	 -99	B1    	60	     	 1.30	04275+6330	 0.30	   -10.25	                   	10.0	04 32 01.8	+63 36 25
 64	N1705              	04 53.1	-53 26	 640	field 	49	12.77	 1.28	04531-5326	 0.13	   -10.26	                   	-3.0	04 54 13.5	-53 21 14
 65	E056-19            	04 53.8	-70 41	 273	LG    	  	     	 1.33	04538-7040	 0.32	   -10.01	                   	    	04 53 19.4	-70 36 13
 66	UA105              	05 09.6	+62 30	 112	B1    	50	     	 1.74	05095+6230	 0.20	   -10.29	                   	10.0	05 14 15.4	+62 33 29
 67	U3303              	05 22.3	+04 27	 521	field 	41	     	 1.56	          	 0.12	         	                   	10.0	05 24 56.9	+04 29 38
268	TUC                	22 38.5	-64 41	    	LG    	  	     	     	          	     	         	                   	-5.0	22 41 51.7	-64 25 18
 68	E056-115           	05 24.0	-69 48	 278	LG    	28	 0.91	 3.81	several   	 0.07	    -5.30	                   	 9.0	05 23 34.6	-69 45 22
 69	A0542+05           	05 42.4	+05 02	 360	field 	60	     	     	05422+0508	     	   -10.10	                   	10.0	05 45 03.6	+05 03 11
 70	A0554+07           	05 54.8	+07 29	 427	field 	  	     	 1.60	          	     	         	                   	10.0	05 57 30.5	+07 29 17
 71	U3476              	06 27.2	+33 20	 469	field 	  	     	 1.00	          	 0.55	         	                   	10.0	06 30 29.3	+33 17 54
 72	A0636-25           	06 35.9	-25 57	 498	field 	  	     	 1.23	          	 0.09	         	                   	10.0	06 37 55.6	-25 59 41
 73	CAR                	06 40.4	-50 55	 229	LG    	  	     	 2.37	          	 0.18	         	                   	-5.0	06 41 36.7	-50 57 58
 74	U3600              	06 51.2	+39 09	 398	field 	66	     	 1.04	          	 0.37	         	                   	10.0	06 54 38.6	+39 05 11
 75	K49                	07 02.7	+71 57	    	B2    	  	     	     	          	     	         	                   	-5.0	07 08 31.9	+71 52 17
 76	A0704-58           	07 04.5	-58 27	 554	field 	  	     	 1.54	          	 0.32	         	                   	 9.0	07 05 19.1	-58 31 40
 77	U3698              	07 05.7	+44 28	 426	field 	50	     	 1.00	          	 0.19	         	                   	10.0	07 09 18.4	+44 23 09
 78	N2337              	07 06.6	+44 32	 434	field 	35	     	 1.35	07066+4432	 0.13	   -10.01	                   	10.0	07 10 12.5	+44 27 05
 79	U3755              	07 11.1	+10 36	 319	field 	  	     	 1.22	          	 0.24	         	                   	10.0	07 13 51.6	+10 30 48
 80	U3817              	07 19.1	+45 12	 438	field 	60	     	 1.26	          	 0.29	         	                   	10.0	07 22 42.8	+45 06 14
 81	N2363              	07 23.1	+69 17	  17	B2    	  	     	     	          	     	         	                   	10.0	07 28 23.7	+69 10 54
 82	N2366              	07 23.6	+69 18	 101	B2    	62	11.43	 1.91	07233+6917	 0.39	    -9.78	12-07-040          	10.0	07 28 53.7	+69 11 52
 83	U3860              	07 24.8	+40 52	 354	field 	45	15.07	 1.12	          	 0.17	         	                   	10.0	07 28 15.4	+40 45 51
 84	UA133              	07 29.2	+67 00	    	B2    	47	     	 1.48	          	 0.18	         	                   	-5.0	07 34 10.3	+66 53 30
 85	E059-01            	07 31.3	-68 05	 533	field 	21	     	 1.33	          	 0.10	         	                   	10.0	07 31 18.2	-68 11 29
 86	N2403              	07 32.0	+65 43	 132	B2    	57	 8.93	 2.34	07321+6543	 0.25	    -8.45	                   	 6.0	07 36 49.1	+65 36 19
 87	U3966              	07 38.0	+40 14	 362	field 	24	13.90	 1.24	          	 0.01	         	                   	10.0	07 41 24.9	+40 06 58
 88	U3974              	07 39.0	+16 55	 268	field 	40	13.60	 1.49	          	 0.02	         	                   	10.0	07 41 52.1	+16 47 55
 89	U4115              	07 52.2	+14 32	 338	field 	58	     	 1.26	          	 0.25	         	                   	10.0	07 55 00.9	+14 24 03
 90	N2537,U4274,MARK86 	08 10.2	+46 09	 443	field 	31	12.32	 1.24	          	 0.07	         	A0810+46,08-15-050 	 9.0	08 13 43.9	+45 59 54
 91	U4305,D50,HO II    	08 13.9	+70 52	 158	B2    	35	11.10	 1.90	08140+7052	 0.10	   -10.13	12-08-033          	10.0	08 19 06.4	+70 42 38
 92	A0818+71           	08 18.0	+71 12	 116	B2    	46	     	 1.26	          	 0.14	         	                   	10.0	08 23 13.4	+71 02 23
 93	U4426              	08 25.1	+42 01	 393	field 	58	15.00	 1.30	          	 0.29	         	                   	10.0	08 28 27.9	+41 51 01
 94	U4459              	08 29.6	+66 21	  19	B2    	32	14.48	 1.19	          	 0.06	         	11-11-013          	10.0	08 34 09.5	+66 10 44
 95	U4483              	08 32.2	+69 57	 157	B2    	61	     	 1.05	          	 0.17	         	                   	10.0	08 37 08.0	+69 46 34
 96	U4634              	08 48.5	+73 44	    	B2    	  	     	 1.07	08483+7340	 0.00	   -10.10	                   	10.0	08 53 50.7	+73 32 39
 97	N2683              	08 49.6	+33 36	 411	field 	79	10.64	 1.97	several   	 0.63	    -9.16	                   	 3.0	08 52 42.2	+33 24 39
 98	UA158              	08 50.8	+72 12	    	B2    	  	     	     	          	     	         	                   	-5.0	08 55 52.2	+72 00 32
 99	F564-V3            	09 00.0	+20 16	 481	field 	  	     	 0.85	          	     	         	                   	10.0	09 02 51.0	+20 04 07
100	E497-17            	09 07.5	-22 48	 725	field 	38	15.32	 1.11	          	 0.13	         	-04-22-003         	10.0	09 09 44.5	-23 00 15
101	N2784              	09 10.1	-23 58	 708	field 	65	11.30	 1.74	          	 0.39	         	-04-22-005         	-2.0	09 12 19.7	-24 10 23
103	N2915              	09 26.5	-76 24	 468	field 	53	13.25	 1.28	09265-7624	 0.29	   -10.30	                   	 9.0	09 26 10.6	-76 37 06
104	N2903              	09 29.3	+21 43	 556	field 	56	 9.68	 2.10	several   	 0.32	    -8.45	04-23-009          	 4.0	09 32 07.8	+21 29 43
105	U5086              	09 30.0	+21 45	 448	field 	 0	     	 0.96	          	 0.00	         	                   	10.0	09 32 49.7	+21 31 41
106	U5139              	09 36.0	+71 25	 140	B2    	27	13.00	 1.56	          	 0.09	         	12-09-059          	10.0	09 40 28.2	+71 11 24
107	U5209              	09 42.1	+32 28	 546	field 	  	     	 0.96	          	 0.00	         	                   	10.0	09 45 03.5	+32 14 10
108	N2976              	09 43.2	+68 09	   9	B2    	59	10.82	 1.77	09431+6809	 0.34	    -9.15	                   	 5.0	09 47 17.6	+67 55 06
109	BK2N               	09 43.7	+69 31	    	B2    	  	     	     	          	     	         	                   	-5.0	09 47 54.0	+69 17 05
110	U5247              	09 45.0	+69 39	 143	B2    	62	     	 2.12	          	 0.34	         	                   	 8.0	09 49 11.8	+69 25 02
111	U5272              	09 47.4	+31 43	 520	field 	67	14.46	 1.32	          	 0.42	         	                   	10.0	09 50 20.0	+31 28 58
112	U5288              	09 48.6	+08 04	 557	field 	49	     	 1.10	09483+0803	 0.19	   -10.97	                   	 8.0	09 51 14.8	+07 49 55
113	BK3N               	09 49.7	+69 12	 -40	B2    	  	     	     	          	     	         	                   	10.0	09 53 48.5	+68 57 51
114	A0951+68           	09 51.2	+68 50	 -83	B2    	69	     	 1.65	          	 0.40	         	                   	-5.0	09 55 15.8	+68 35 47
115	N3031              	09 51.5	+69 18	 -34	B2    	55	 7.89	 2.43	09514+6918	 0.28	    -8.44	12-10-010          	 2.0	09 55 35.8	+69 03 47
116	N3034              	09 51.7	+69 55	 204	B2    	84	 9.30	 2.05	09517+6954	 0.42	    -7.23	12-10-011          	    	09 55 50.7	+69 40 46
117	K952+69            	09 53.4	+69 31	    	B2    	  	     	     	          	     	         	                   	10.0	09 57 29.6	+69 16 42
118	U5336              	09 53.6	+69 17	  45	B2    	73	14.30	 1.40	          	 0.09	         	12-10-012          	10.0	09 57 40.4	+69 02 42
119	U5340              	09 53.9	+29 04	 503	field 	61	14.76	 1.43	          	 0.45	         	                   	10.0	09 56 46.9	+28 49 43
120	U5364,D69,LEO A    	09 56.5	+30 59	  22	LG    	52	12.92	 1.71	09567+3100	 0.22	   -10.59	                   	10.0	09 59 24.0	+30 44 37
121	U5373              	09 57.4	+05 34	 301	field 	45	11.85	 1.71	09572+0534	 0.16	   -10.88	01-26-005          	10.0	10 00 01.0	+05 19 35
122	N3077              	09 59.4	+68 59	  11	B2    	38	10.61	 1.73	09592+6858	 0.08	    -9.10	                   	    	10 03 23.2	+68 44 29
123	GARLAND            	09 59.7	+68 56	  43	B2    	  	     	     	          	     	         	                   	10.0	10 03 40.8	+68 41 29
124	UA193              	10 00.2	-05 46	 657	field 	90	     	 1.45	          	 1.02	         	-01-26-012         	 7.0	10 02 42.3	-06 00 31
125	BK5N               	10 00.7	+68 30	    	B2    	  	     	     	          	     	         	                   	-5.0	10 04 38.3	+68 15 26
126	N3109,D236,UA194   	10 00.8	-25 55	 404	field 	81	10.39	 2.28	several   	 0.71	    -9.68	-04-24-013         	 9.0	10 03 05.7	-26 09 32
127	U5428              	10 01.3	+66 48	    	B2    	  	     	 0.96	          	 0.00	         	                   	-5.0	10 05 07.3	+66 33 25
128	U5423              	10 01.4	+70 37	 340	field 	40	     	 0.94	          	 0.18	         	                   	10.0	10 05 29.6	+70 22 25
129	A1001-27           	10 01.8	-27 05	 361	LG    	  	     	 1.30	          	 0.11	         	                   	10.0	10 04 05.0	-27 19 34
130	U5427              	10 01.8	+29 36	 498	field 	  	     	 1.07	          	 0.15	         	                   	 8.0	10 04 40.2	+29 21 25
131	N3115              	10 02.7	-07 29	 662	field 	80	 9.87	 1.86	          	 0.47	         	                   	-3.0	10 05 11.4	-07 43 36
132	U5439              	10 03.0	+00 19	    	field 	  	     	 1.68	          	 0.00	         	                   	-5.0	10 05 33.9	+00 04 23
133	U5442              	10 03.2	+68 04	    	B2    	  	     	 1.26	          	 0.29	         	                   	-5.0	10 07 05.0	+67 49 21
134	-01-26-21          	10 03.2	-07 44	 715	field 	  	13.20	 1.24	          	 0.08	         	                   	-2.0	10 05 41.3	-07 58 38
135	U5456              	10 04.7	+10 36	 535	field 	61	13.72	 1.21	10046+1036	 0.31	   -10.49	                   	    	10 07 21.6	+10 21 19
136	U5470              	10 05.8	+12 33	 168	LG    	  	11.18	 1.99	          	 0.12	         	02-26-027          	-5.0	10 08 28.7	+12 18 17
137	D75                	10 08.5	-04 28	 324	field 	28	11.86	 1.77	          	 0.08	         	-01-26-030         	10.0	10 11 01.3	-04 42 49
138	A1010-01           	10 10.5	-01 22	 230	LG    	  	     	     	          	     	         	                   	-5.0	10 13 03.0	-01 36 53
139	D78                	10 22.8	+67 55	    	B2    	  	     	     	          	     	         	                   	-5.0	10 26 27.9	+67 39 44
140	I2574              	10 24.7	+68 40	  46	B2    	61	10.80	 2.12	10251+6843	 0.39	    -9.67	D81,12-10-038      	 9.0	10 28 23.1	+68 24 40
141	U5672              	10 25.6	+22 50	 531	field 	  	     	 1.26	          	 0.52	         	                   	    	10 28 20.8	+22 34 39
142	U5692              	10 26.8	+70 52	  40	B2    	  	13.47	 1.51	          	 0.26	         	                   	 9.0	10 30 35.9	+70 36 36
143	N3274              	10 29.5	+27 56	 538	field 	58	13.21	 1.33	10294+2755	 0.32	   -10.26	                   	 6.8	10 32 17.1	+27 40 33
144	BK6N               	10 31.0	+66 16	    	B2    	  	     	     	          	     	         	                   	-5.0	10 34 29.9	+66 00 30
145	UA220              	10 46.0	+64 59	    	B2a   	47	16.90	 1.23	          	 0.16	         	                   	10.0	10 49 17.9	+64 43 08
146	U5918              	10 46.3	+65 48	 338	B2a   	30	14.93	 1.38	          	 0.00	         	D87,11-13-039      	10.0	10 49 37.4	+65 32 07
147	BK7N               	10 47.0	+65 22	    	B2a   	  	16.20	 1.32	          	 0.21	         	                   	10.0	10 50 18.1	+65 06 06
